House number,Street name,Postal code,Latitude,Longitude
9319,Highway 90 South,77868,30.3967683,-96.0699285
309,North Lasalle Street,77868,30.3901324,-96.0903579
1695,East Washington,77868,30.3966376,-96.0730235
1,Bodybilt Place,77868,30.3911989,-96.0709841
1905,Dove Crossing Lane,77868,30.3890785,-96.0675048
2000,Birdie Court,77868,30.3690836,-96.1214895
2002,Birdie Court,77868,30.3689482,-96.1215016
2004,Birdie Court,77868,30.3688311,-96.1214929
2006,Birdie Court,77868,30.3687229,-96.1214827
2008,Birdie Court,77868,30.3685824,-96.1215116
2010,Birdie Court,77868,30.3684584,-96.1215087
2012,Birdie Court,77868,30.3683475,-96.1215091
7719,Links Lane,77868,30.3689032,-96.1210073
7717,Links Lane,77868,30.3689069,-96.1208354
7715,Links Lane,77868,30.3688924,-96.1206346
7713,Links Lane,77868,30.3688813,-96.1204222
7711,Links Lane,77868,30.3688798,-96.1202302
7709,Links Lane,77868,30.3689037,-96.1200450
7707,Links Lane,77868,30.3689105,-96.1198686
7705,Links Lane,77868,30.3689153,-96.1196485
7703,Links Lane,77868,30.3688957,-96.1194175
2028,Eagle View Drive,77868,30.3684099,-96.1210035
2026,Eagle View Drive,77868,30.3684432,-96.1208161
2024,Eagle View Drive,77868,30.3684433,-96.1206467
2022,Eagle View Drive,77868,30.3684722,-96.1204549
2020,Eagle View Drive,77868,30.3684738,-96.1202319
2018,Eagle View Drive,77868,30.3685161,-96.1200788
2016,Eagle View Drive,77868,30.3685157,-96.1198718
2014,Eagle View Drive,77868,30.3685657,-96.1196696
1712,East Washington Avenue,77868,30.3949794,-96.0717199
309,North Lasalle Street,77868,30.3901521,-96.0906502
115,Farquhar Street,77868,30.3875591,-96.0883385
8965,Highway 6,77868,30.3959189,-96.0687856
9345,State Highway 6,77868,30.3898257,-96.0668817
9109,East Washington Avenue,77868,30.3981282,-96.0667141
210,South Judson Street,77868,30.3926933,-96.0777837
9677,State Highway 6,77868,30.3852597,-96.0668554
507,South La Salle Street,77868,30.3849600,-96.0854975
9524,State Highway 6 Loop South,77868,30.3862167,-96.0693739
1605,East Washington Avenue,77868,30.3964017,-96.0739264
400,Ivy Street,77868,30.4002710,-96.0744835
9305,Highway 90 South,77868,30.3971415,-96.0694655
9249,Highway 90 South,77868,30.3972565,-96.0691215
100,Dove Court,77868,30.3889256,-96.0636351
101,Dove Court,77868,30.3889775,-96.0631482
10200,State Highway 6,77868,30.3769022,-96.0687320
9524,State Highway 6 Loop South,77868,30.3861644,-96.0705150
800,Heritage Drive,77868,30.3755151,-96.0958774
802,Heritage Drive,77868,30.3755029,-96.0960832
804,Heritage Drive,77868,30.3754957,-96.0962953
806,Heritage Drive,77868,30.3754878,-96.0964999
808,Heritage Drive,77868,30.3754878,-96.0967079
810,Heritage Drive,77868,30.3754810,-96.0969119
814,Heritage Drive,77868,30.3754667,-96.0973261
816,Heritage Drive,77868,30.3754687,-96.0975303
818,Heritage Drive,77868,30.3754586,-96.0977340
820,Heritage Drive,77868,30.3754555,-96.0979404
822,Heritage Drive,77868,30.3754437,-96.0981480
824,Heritage Drive,77868,30.3754345,-96.0983510
826,Heritage Drive,77868,30.3754370,-96.0985644
828,Heritage Drive,77868,30.3754251,-96.0987662
830,Heritage Drive,77868,30.3754195,-96.0989731
832,Heritage Drive,77868,30.3754178,-96.0991772
834,Heritage Drive,77868,30.3754084,-96.0993807
836,Heritage Drive,77868,30.3754070,-96.0996221
838,Heritage Drive,77868,30.3754016,-96.0999159
9501,State Highway 6 Loop North,77868,30.3880924,-96.0675284
