House number,Street name,Postal code,Latitude,Longitude
7912,Main Street,76182,32.8669398,-97.2111398
8427,Blvd 26 North,76180,32.8444920,-97.2018762
6248,Rufe Snow Drive,76148,32.8596091,-97.2377474
8245,Precinct Line Road,76182,32.9063740,-97.1881665
7129,Harwick Lane,76182,32.8626058,-97.2298629
6401,Precinct Line Road,76180,32.8627365,-97.1868658
8208,Northeast Parkway,76182,32.8699161,-97.2056834
8528,Davis Boulevard,76182,32.9076137,-97.1886344
8204,Northeast Parkway,76182,32.8699879,-97.2060458
9990,Grapevine Highway,76054,32.8547500,-97.1873800
8201,Mid Cities Boulevard,76182,32.8626418,-97.2078328
8001,Boulevard 26,76180,32.8377296,-97.2101534
6513,E Smithfield Rd,76180,32.8659877,-97.2124971
9127,Grapevine Highway,76180,32.8535113,-97.1902564
9217,Glenhaven Court,76182,32.8683503,-97.1878919
9015,Grand Avenue,76180,32.8550452,-97.1925761
7505,Davis Boulevard,76182,32.8844563,-97.2041973
8412,Davis Boulevard,76182,32.9058960,-97.1916489
8412,Davis Boulevard,76182,32.9058885,-97.1913397
9101,North Tarrant Parkway,76182,32.9058355,-97.1890488
8532,Davis Boulevard,76182,32.9076517,-97.1882610
8183,Precinct Line Road,76182,32.9016655,-97.1864607
9160,North Tarrant Parkway,76182,32.9022718,-97.1879827
9160,North Tarrant Parkway,76182,32.9022687,-97.1878213
9120,North Tarrant Parkway,76182,32.9033541,-97.1913750
9120,North Tarrant Parkway,76182,32.9033566,-97.1913117
8509,Davis Boulevard,76182,32.9064320,-97.1926795
8509,Davis Boulevard,76182,32.9067694,-97.1924433
8536,Davis Boulevard,76182,32.9097051,-97.1886635
8536,Davis Boulevard,76182,32.9096448,-97.1887034
4201,City Pt W,76180,32.8256371,-97.2186546
3565,Paramount Street,76117,32.8147499,-97.2615200
7536,Boulevard 26,76180,32.8290950,-97.2204574
6813,Boulevard 26,76180,32.8178033,-97.2362766
6724,Mid Cities Boulevard,76148,32.8599242,-97.2366314
7901,Boulevard 26,76180,32.8370228,-97.2129897
8183,Precinct Line Road,76182,32.9017900,-97.1864817
8183,Precinct Line Road,76182,32.9018442,-97.1864845
8222,Bedford Euless Road,76180,32.8336826,-97.2047202
9131,Boulevard 26,76180,32.8542755,-97.1906463
7523,Boulevard 26,76180,32.8292873,-97.2216036
5100,Rufe Snow Drive,76180,32.8411214,-97.2376059
9101,North Tarrant Parkway,76182,32.9060845,-97.1891731
8955,North Tarrant Parkway,76182,32.9046061,-97.1921866
9150,North Tarrant Parkway,76182,32.9021909,-97.1896076
9135,Boulevard 26,76180,32.8547018,-97.1903561
6401,Northeast Loop 820,76180,32.8425098,-97.2473484
6375,Northeast Loop 820,76180,32.8424008,-97.2485319
6320,Rufe Snow Drive,76180,32.8606749,-97.2373659
6300,Rufe Snow Drive,76148,32.8610752,-97.2367563
6984,Rufe Snow Drive,76148,32.8743724,-97.2371230
5340,Rufe Snow Drive,76180,32.8464144,-97.2378201
5354,Rufe Snow Drive,76180,32.8467866,-97.2382381
8245,Precinct Line Road,76182,32.9066741,-97.1875993
5757,Rufe Snow Drive,76180,32.8527480,-97.2391405
5121,Rufe Snow Drive,76180,32.8415338,-97.2393142
7201,Boulevard 26,76180,32.8249319,-97.2276705
4925,Davis Boulevard,76180,32.8371352,-97.2146837
8536,Davis Boulevard,76182,32.9095858,-97.1887557
8533,Davis Boulevard,76182,32.9080722,-97.1912762
8500,North Tarrant Parkway,76182,32.9033372,-97.1952056
8500,North Tarrant Parkway,76182,32.9033402,-97.1953872
8415,Davis Boulevard,76182,32.9024334,-97.1959374
8415,Davis Boulevard,76182,32.9024327,-97.1960728
8415,Davis Boulevard,76182,32.9024341,-97.1961277
8145,Davis Boulevard,76182,32.9024358,-97.1961840
8415,Davis Boulevard,76182,32.9024360,-97.1962420
8415,Davis Boulevard,76182,32.9024358,-97.1963015
8800,North Tarrant Parkway,76182,32.9025498,-97.1966502
5412,Davis Boulevard,76182,32.9027351,-97.1967768
8800,North Tarrant Parkway,76182,32.9029796,-97.1968985
8700,North Tarrant Parkway,76182,32.9031881,-97.1971229
8700,North Tarrant Parkway,76182,32.9033183,-97.1971946
8700,North Tarrant Parkway,76182,32.9033347,-97.1975751
8700,North Tarrant Parkway,76182,32.9033331,-97.1974933
8700,North Tarrant Parkway,76182,32.9033358,-97.1974095
7700,Davis Boulevard,76182,32.8865555,-97.2030210
7700,Davis Boulevard,76182,32.8863674,-97.2030716
7601,Precinct Line Road,76182,32.8854269,-97.1864474
7601,Precinct Line Road,76182,32.8854340,-97.1864043
6800,Davis Boulevard,76182,32.8708069,-97.2073694
9020,Main Street,76182,32.8669330,-97.2095290
8032,Main Street,76182,32.8669309,-97.2091590
6905,Davis Boulevard,76182,32.8731225,-97.2075783
6901,Davis Boulevard,76182,32.8729074,-97.2076629
7510,Smithfield Road,76182,32.8828613,-97.2114649
7701,Davis Boulevard,76182,32.8876382,-97.2037777
7301,Bursey Road,76182,32.8926751,-97.2258510
7301,Glenview Drive,76180,32.8243111,-97.2219180
8415,Davis Boulevard,76182,32.9024327,-97.1958548
8415,Davis Boulevard,76182,32.9024336,-97.1960045
9120,North Tarrant Parkway,76182,32.9033640,-97.1911230
9120,North Tarrant Parkway,76182,32.9033616,-97.1911896
9120,North Tarrant Parkway,76182,32.9033605,-97.1912488
8633,Davis Boulevard,76182,32.9104760,-97.1894166
8633,Davis Boulevard,76182,32.9104289,-97.1894611
8633,Davis Boulevard,76182,32.9103705,-97.1895017
8633,Davis Boulevard,76182,32.9103202,-97.1895501
8533,Davis Boulevard,76182,32.9081761,-97.1911920
8509,Davis Boulevard,76182,32.9069205,-97.1923245
8509,Davis Boulevard,76182,32.9068398,-97.1923880
8509,Davis Boulevard,76182,32.9066786,-97.1925004
8509,Davis Boulevard,76182,32.9066031,-97.1925546
9100,Mid Cities Boulevard,76180,32.8601041,-97.1905842
8780,Bridge Street,76180,32.8566650,-97.1959955
9015,Grand Avenue,76180,32.8550176,-97.1925232
8400,Main Street,76182,32.8660306,-97.2014167
6724,Smithfield Road,76182,32.8702993,-97.2103334
8344,Amundson Drive,76182,32.8682504,-97.2041257
7111,Northeast Loop 820,76180,32.8403088,-97.2300992
5201,Holiday Lane East,76180,32.8419027,-97.2296980
5821,Diamond Oaks Drive North,76117,32.8242623,-97.2547617
8245,Precinct Line Road,76182,32.9059116,-97.1881455
9101,North Tarrant Parkway,76182,32.9061638,-97.1896344
5501,Rufe Snow Drive,76180,32.8470161,-97.2390596
5200,Davis Boulevard,76180,32.8420405,-97.2139567
6225,Precinct Line Road,76180,32.8607666,-97.1866859
5131,Rufe Snow Drive,76180,32.8423378,-97.2392929
7680,Douglas Lane,76182,32.8865909,-97.2247771
7701,Smithfield Road,76182,32.8876640,-97.2135961
4800,Rufe Snow Drive,76180,32.8353953,-97.2370061
4801,Vance Road,76180,32.8354716,-97.2342010
9100,North Tarrant Parkway,76182,32.9033059,-97.1917510
6411,Precinct Line Road,76182,32.8634041,-97.1889450
7020,Mid Cities Boulevard,76180,32.8581720,-97.2327026
7332,Douglas Lane,76182,32.8803631,-97.2238648
8200,O'Brian Way,76180,32.8483646,-97.2054950
7331,Holiday Lane,76182,32.8803522,-97.2219101
4100,Flory Street,76180,32.8249653,-97.2356102
5221,Susan Lee Lane,76180,32.8424507,-97.2195052
7900,Smithfield Road,76182,32.8906191,-97.2108507
6800,Springdale Lane,76182,32.8758006,-97.2318430
9001,Grapevine Highway,76180,32.8500465,-97.1946235
8250,Shadywood Lane,76182,32.8992109,-97.2011633
8245,Precinct Line Road,76182,32.9063815,-97.1879072
8532,Davis Boulevard,76182,32.9077319,-97.1881795
6916,Finch Drive,76182,32.8721997,-97.2344366
6912,Finch Drive,76182,32.8720644,-97.2344332
6920,Finch Drive,76182,32.8723370,-97.2344180
4401,Booth Calloway Road,76180,32.8277937,-97.2139192
8225,Northeast Parkway,76182,32.8709595,-97.2066101
8500,Harwood Road,76180,32.8401066,-97.1986383
6244,Rufe Snow Drive,76148,32.8580906,-97.2378173
7201,Iron Horse Boulevard,76180,32.8558993,-97.2306282
6937,Bobwhite Drive,76182,32.8729429,-97.2365984
6933,Bobwhite Drive,76182,32.8728059,-97.2365854
6929,Bobwhite Drive,76182,32.8726670,-97.2365719
6925,Bobwhite Drive,76182,32.8725319,-97.2365504
6921,Bobwhite Drive,76182,32.8723924,-97.2365409
6917,Bobwhite Drive,76182,32.8722532,-97.2365545
6913,Bobwhite Drive,76182,32.8721189,-97.2365999
6909,Bobwhite Drive,76182,32.8719741,-97.2365998
6905,Bobwhite Drive,76182,32.8717436,-97.2367119
6800,Swallow Lane,76182,32.8714781,-97.2363496
6804,Swallow Lane,76182,32.8714983,-97.2361700
6808,Swallow Lane,76182,32.8715266,-97.2360019
6812,Swallow Lane,76182,32.8715378,-97.2358402
6816,Swallow Lane,76182,32.8715348,-97.2356781
6820,Swallow Lane,76182,32.8715329,-97.2355149
6824,Swallow Lane,76182,32.8715262,-97.2353509
6828,Swallow Lane,76182,32.8715318,-97.2351884
6832,Swallow Lane,76182,32.8715222,-97.2350268
6836,Swallow Lane,76182,32.8714755,-97.2348540
6840,Swallow Lane,76182,32.8714684,-97.2346228
6900,Finch Drive,76182,32.8715046,-97.2343915
6904,Finch Drive,76182,32.8716782,-97.2343135
6908,Finch Drive,76182,32.8719236,-97.2344235
6924,Finch Drive,76182,32.8724758,-97.2344378
6928,Finch Drive,76182,32.8726146,-97.2344373
6932,Finch Drive,76182,32.8727590,-97.2344767
6936,Finch Drive,76182,32.8729260,-97.2344837
6940,Finch Drive,76182,32.8730709,-97.2344784
6944,Finch Drive,76182,32.8732066,-97.2344415
6948,Finch Drive,76182,32.8733423,-97.2344167
6952,Finch Drive,76182,32.8734860,-97.2344013
6956,Finch Drive,76182,32.8737286,-97.2343434
6960,Finch Drive,76182,32.8738675,-97.2343312
5162,Rufe Snow Drive,76180,32.8427043,-97.2382737
8721,Airport Freeway,76180,32.8375546,-97.1967355
8393,BOULEVARD 26,76180,32.8432813,-97.2018075
8709,Airport Freeway,76180,32.8367825,-97.1978575
7800,Boulevard 26,76180,32.8348657,-97.2120521
7800,Bedford Euless Road,76053,32.8337574,-97.2115850
8250,Bedford Euless Road,76180,32.8337258,-97.2037803
7920,Bedford Euless Road,76180,32.8337429,-97.2091801
8020,Bedford Euless Road,76180,32.8338083,-97.2073692
8875,Grapevine Highway,76180,32.8486239,-97.1953768
7551,Northeast Loop 820,76180,32.8356917,-97.2188662
4912,Nancy Lane,76180,32.8371805,-97.2171584
5249,Davis Boulevard,76180,32.8430217,-97.2150324
6901,Northeast Loop 820,76180,32.8417988,-97.2322374
6851,Northeast Loop 820,76180,32.8409612,-97.2334305
7441,Northeast Loop 820,76180,32.8369388,-97.2209318
5140,Rufe Snow,76118,32.8417731,-97.2381948
7769,Boulevard 26,76180,32.8346508,-97.2156136
7301,Northeast Loop 820,76180,32.8383433,-97.2254552
7245,Hightower Drive,76182,32.8753282,-97.2258950
6984,Rufe Snow Drive,76148,32.8744860,-97.2372607
6320,Rufe Snow Drive,76180,32.8607696,-97.2374673
6889,Hightower Drive,76182,32.8754777,-97.2341301
7020,Mid Cities Boulevard,76180,32.8591151,-97.2326954
5441,Rufe Snow Drive,76180-6004,32.8465155,-97.2391722
6375,Northeast Loop 820,76180,32.8410105,-97.2481226
6375,Northeast Loop 820,76180,32.8428701,-97.2485093
6401,Northeast Loop 820,76180,32.8427180,-97.2463240
6501,Northeast Loop 820,76180,32.8421294,-97.2433037
5647,Rufe Snow Drive,76180,32.8504782,-97.2392799
5651,Rufe Snow Drive,76180,32.8510042,-97.2391671
5555,Rufe Snow Drive,76180,32.8475063,-97.2399645
4800,Lariat Trail,76180,32.8346995,-97.2419185
6300,NE Loop 820,76180,32.8385376,-97.2506502
7301,Bursey Road,76182,32.8926993,-97.2257853
4400,Cummings Drive,76180,32.8271087,-97.2251223
7608,Boulevard 26,76180,32.8296925,-97.2192482
7301,Glenview Drive,76180,32.8243227,-97.2215233
6813,Boulevard 26,76180,32.8178162,-97.2362725
6529,Smithfield Road,76182,32.8671009,-97.2128196
6701,Smithfield Road,76182,32.8687986,-97.2126920
7700,Hewitt Street,76182,32.8725903,-97.2166122
8632,Davis Boulevard,76182,32.9063420,-97.1931845
8537,Davis Boulevard,76182,32.9086706,-97.1912861
8509,Davis Boulevard,76182,32.9066965,-97.1925795
8501,Davis Boulevard,76182,32.9060893,-97.1928631
8950,North Tarrant Parkway,76182,32.9032006,-97.1932825
7550,Shady Grove Road,76182,32.9069795,-97.2122360
8301,Davis Boulevard,76182,32.8975085,-97.1986765
8801,North Tarrant Parkway,76182,32.9047285,-97.1964465
8901,North Tarrant Parkway,76182,32.9045185,-97.1939800
8849,North Tarrant Parkway,76182,32.9047025,-97.1949703
8401,Davis Boulevard,76182,32.9023285,-97.1954061
8001,Shadywood Lane,76182,32.8962820,-97.2008060
8725,North Tarrant Parkway,76182,32.9052400,-97.1973330
7601,Precinct Line Road,76182,32.8854125,-97.1865590
8485,Davis Boulevard,76182,32.9052155,-97.1934655
8425,Davis Boulevard,76180,32.9027735,-97.1950850
8416,Davis Boulevard,76182,32.9064365,-97.1912296
8955,North Tarrant Parkway,76182,32.9045310,-97.1923390
8412,Davis Boulevard,76182,32.9058930,-97.1913910
8632,Davis Boulevard,76182,32.9115495,-97.1874425
9001,North Tarrant Parkway,76182,32.9044720,-97.1881140
8612,Davis Boulevard,76182,32.9100715,-97.1883170
8408,Davis Boulevard,76182,32.9050530,-97.1919025
8509,Precinct Line Road,76182,32.9096630,-97.1877490
8536,Davis Boulevard,76182,32.9096164,-97.1886559
8205,Precinct Line Road,76182,32.9050665,-97.1873060
6091,Precinct Line Road,76180,32.8578665,-97.1871105
8713,Stewart Drive,76181,32.8716190,-97.1974395
6800,Crane Drive,76182,32.8704705,-97.1915695
8844,Main Street,76182,32.8683190,-97.1921355
7716,Davis Boulevard,76182,32.8893065,-97.2028080
8103,Main Street,76182,32.8674020,-97.2100570
8021,Main Street,76182,32.8673575,-97.2094720
6724,Davis Boulevard,76182,32.8696646,-97.2077699
6700,Smithfield Road,76182,32.8682198,-97.2117995
7501,Davis Boulevard,76182,32.8845630,-97.2057835
7300,Smithfield Road,76182,32.8812995,-97.2112505
7451,Davis Boulevard,76180,32.8835125,-97.2042750
6702,Davis Boulevard,76182,32.8690275,-97.2079760
7800,Davis Boulevard,76182,32.8898790,-97.2027815
7709,Davis Boulevard,76182,32.8886435,-97.2038827
7850,Davis Boulevard,76182,32.8906660,-97.2024355
7451,Davis Boulevard,76182,32.8835435,-97.2039200
7903,Main Street,76182,32.8674415,-97.2118790
8380,Davis Boulevard,76182,32.9013671,-97.1930232
7501,Continental Trail,76182,32.8972389,-97.2177782
8528,Davis Boulevard,76182,32.9078647,-97.1896134
9005,North Tarrant Parkway,76182,32.9044392,-97.1916021
9009,North Tarrant Parkway,76182,32.9046427,-97.1909480
8245,Precinct Line Road,76182,32.9058955,-97.1873303
8195,Precinct Line Road,76182,32.9032281,-97.1868471
9170,North Tarrant Parkway,76182,32.9033712,-97.1877666
9150,North Tarrant Parkway,76182,32.9019798,-97.1889734
