House number,Street name,Postal code,Latitude,Longitude
1402,Red Oak Creek Road,75154,32.5261227,-96.8839267
713,Westmoreland Road,75154,32.5399520,-96.8755539
108,Holly Lane,75154,32.5362294,-96.8722786
108,Elmwood Drive,75154,32.5353330,-96.8974181
203,Lariat Trail,75154,32.5468198,-96.8831106
214,Willow Creek Lane,75154,32.5374407,-96.8999550
312,Willow Creek Lane,75154,32.5339654,-96.9004870
200,Willow Creek Court,75154,32.5386980,-96.8971571
316,Willow Creek Lane,75154,32.5337418,-96.8992378
603,Georgetown Road,75154,32.5398945,-96.8791874
707,Georgetown Road,75154,32.5442602,-96.8793829
104,Copperfield Court,75154,32.5461025,-96.8847769
112,Suburban Drive,75154,32.5397282,-96.8883927
125,Suburban Drive,75154,32.5409425,-96.8856480
104,Slippery Rock Court,75154,32.5164766,-96.8845576
901,Slippery Elm Drive,75154,32.5093991,-96.8827003
101,Woodridge Court,75154,32.5128559,-96.8846556
610,Creek View Circle,75154,32.5206115,-96.8798629
100,Silverwood Drive,75154,32.5316347,-96.8901632
108,Cockrell Hill Road,75154,32.5294493,-96.8880295
3412,Fm 664,76065,32.5237273,-96.8887246
3314,Ovilla Road,75154,32.5311660,-96.8857261
210,Cockrell Hill Road,75154,32.5307476,-96.8881858
844,Red Oak Creek Drive,75154,32.5167430,-96.8665716
303,Willow Wood Lane,75154,32.5319046,-96.8942066
100,Greenwood Drive,75154,32.5334357,-96.8911168
106,Elmwood Drive,75154,32.5354703,-96.8978774
605,Georgetown Road,75154,32.5402854,-96.8791882
715,Georgetown Road,75154,32.5457635,-96.8787140
701,Buckboard Street,75154,32.5428374,-96.8818795
104,Woodlands Court,75154,32.5179243,-96.8910795
710,Buckboard Street,75154,32.5448792,-96.8806932
105,Lariat Trail,75154,32.5466757,-96.8760220
423,Johnson Lane,75154,32.5469387,-96.9023029
415,Johnson Lane,75154,32.5469325,-96.9015269
357,Johnson Lane,75154,32.5469184,-96.8993975
281,Johnson Lane,75154,32.5469023,-96.8974415
3751,Monterrey Oak Way,75154,32.5222143,-96.9059528
607,Clinton Street,75154,32.5077440,-96.8897587
124,Meadow Glen Lane,75154,32.5419005,-96.8868962
119,Meadow Glen Lane,75154,32.5424136,-96.8876235
104,Cumberland Drive,75154,32.5175393,-96.8884581
3251,Ovilla Road,75154,32.5307839,-96.8823662
6990,Cedar Court,75154,32.5182375,-96.9073003
204,Cockrell Hill Road,75154,32.5301527,-96.8885722
805,Cockrell Hill Road,75154,32.5472163,-96.8919107
605,Taylor Street,75154,32.5068978,-96.8899582
612,Taylor Street,76065,32.5064155,-96.8885228
7201,Cherry Lane,75154,32.5200063,-96.9049153
7411,Pistache Lane,75154,32.5223797,-96.9029278
7451,Bald Cypress Drive,75154,32.5237639,-96.9008529
3940,Cherry Laurel Lane,75154,32.5236856,-96.9049686
3770,Cherry Laurel Lane,75154,32.5227068,-96.9060328
7421,Pistache Lane,75154,32.5221955,-96.9026476
420,Cheyenne Mountain Drive,75154,32.5290128,-96.8758239
371,Penrose Drive,75154,32.5280294,-96.8751766
360,Penrose Drive,75154,32.5276623,-96.8743963
7430,Pistache Lane,75154,32.5215909,-96.9027925
7640,Bald Cypress Drive,75154,32.5237301,-96.8987228
7431,Bald Cypress Drive,75154,32.5235914,-96.9015691
7461,Bald Cypress Drive,75154,32.5238426,-96.9005103
7421,Desert Willow Lane,75154,32.5230064,-96.9019287
3921,Bryson Manor Drive,75154,32.5227308,-96.9039443
3750,Cherry Laurel Lane,75154,32.5221995,-96.9065934
6971,Cedar Court,75154,32.5188097,-96.9067786
7031,Judy Drive,75154,32.5209175,-96.9063106
7201,Judy Drive,75154,32.5208859,-96.9048245
7221,Cherry Lane,75154,32.5196985,-96.9041890
200,White Rock Court,75154,32.5336735,-96.8693415
403,Bluff Creek,75154,32.5340841,-96.8690092
325,Shadow Wood Trail,75154,32.5349401,-96.8959132
105,Robin Glen Lane,75154,32.5379226,-96.8892924
120,Robin Glen Lane,75154,32.5370277,-96.8867280
422,Johnson Lane,75154,32.5451781,-96.9018409
619,Clinton Street,75154,32.5077714,-96.8872905
103,Ridgeway Gap,75154,32.5134796,-96.8862631
102,Rimrock Court,75154,32.5169153,-96.8854306
439,Johnson Lane,75154,32.5469429,-96.9030861
523,Johnson Lane,75154,32.5469726,-96.9062556
804,Ovilla Oaks Drive,75154,32.5115809,-96.8843294
403,Ovilla Oaks Drive,75154,32.5182745,-96.8818849
606,Oak Ridge Court,76065,32.5179941,-96.8845265
304,Ovilla Oaks Drive,75154,32.5191075,-96.8824313
917,Red Oak Creek Drive,75154,32.5184473,-96.8708710
109,Bent Tree Lane,75154,32.5194070,-96.8921207
257,Johnson Lane,75154,32.5468935,-96.8963577
111,Westlawn Drive,75154,32.5291092,-96.8926036
761,Emerald Valley Drive,75154,32.5299268,-96.8766841
351,Cheyenne Mountain Drive,75154,32.5273696,-96.8766672
330,Cheyenne Mountain Drive,75154,32.5266999,-96.8758739
301,Penrose Drive,75154,32.5257062,-96.8751925
116,Water Street,75154,32.5263169,-96.8889305
304,East University Street,75154,32.5256682,-96.8827146
256,Johnson Lane,75154,32.5457188,-96.8961365
122,Claremont Drive,75154,32.5206897,-96.9012962
202,Cockrell Hill Road,75154,32.5299576,-96.8887968
108,Robin Glen Lane,75154,32.5373796,-96.8886515
602,Forest Edge Lane,75154,32.5362255,-96.8905226
107,Hummingbird Lane,75154,32.5369069,-96.8890098
502,Forest Edge Lane,75154,32.5353609,-96.8905334
305,Cockrell Hill Road,75154,32.5322233,-96.8899621
102,Silverwood Drive,75154,32.5317140,-96.8906200
105,Willow Wood Lane,75154,32.5289931,-96.8942202
716,Georgetown Road,75154,32.5454955,-96.8770447
106,Woodridge Court,75154,32.5128247,-96.8857652
902,Ovilla Oaks Drive,75154,32.5101749,-96.8845220
103,High View Court,75154,32.5200679,-96.8871556
620,Green Meadows Lane,75154,32.5403980,-96.8999656
904,Red Oak Creek Drive,75154,32.5168552,-96.8680877
623,Johnson Lane,75154,32.5469696,-96.9091154
108,Claremont Drive,75154,32.5188023,-96.9018660
106,Claremont Drive,75154,32.5185260,-96.9018671
132,Claremont Drive,75154,32.5218406,-96.9001969
133,Claremont Drive,75154,32.5214330,-96.8987091
707,Westmoreland Road,75154,32.5394767,-96.8755329
680,Westmoreland Road,75154,32.5380156,-96.8733040
771,Emerald Valley Drive,75154,32.5299221,-96.8770899
350,Broadmoor Lane,75154,32.5273606,-96.8773692
340,Cheyenne Mountain Drive,75154,32.5270300,-96.8758535
331,Broadmoor Lane,75154,32.5267052,-96.8781585
320,Penrose Drive,75154,32.5262889,-96.8743826
