House number,Street name,Postal code,Latitude,Longitude
225,Interstate 35 South,78061,28.8951038,-99.1143636
110,Interstate 35 South,78061,28.8995680,-99.1159138
225,Interstate 35 South,78061,28.8962528,-99.1140860
566,Veterans Drive,78061,28.8949345,-99.1218109
200,Interstate 35 South,78061,28.8963718,-99.1170994
210,South Oak Street,78061,28.8907519,-99.0952526
147,West Davila Street,78061,28.8976614,-99.1011745
811,West Frio Street,78061,28.8869994,-99.1079257
201,West Colorado Street,78061,28.8930803,-99.0988340
321,West Pena Street,78061,28.9003931,-99.0978635
550,Interstate 35 South,78061,28.8912478,-99.1182740
502,South Cedar Street,78061,28.8866534,-99.0915739
411,East Colorado Street,78061,28.8920796,-99.0933596
323,East Colorado Street,78061,28.8921479,-99.0942139
308,North Oak Street,78061,28.8942676,-99.0940885
200,East Trinity Street,78061,28.8945891,-99.0952472
819,North Oak Street,78061,28.8988069,-99.0942405
625,North Oak Street,78061,28.8975426,-99.0939532
604,North Oak Street,78061,28.8967504,-99.0932692
508,North Oak Street,78061,28.8963281,-99.0935370
505,North Oak Street,78061,28.8960998,-99.0945128
519,North Oak Street,78061,28.8965395,-99.0944808
1104,West Comal Street,78061,28.8920472,-99.1059403
225,Interstate 35 South,78061,28.8951153,-99.1147065
1809,Louise Lane,78061,28.8969023,-99.1134368
151,Medical Drive,78061,28.8969093,-99.1167526
256,Interstate 35 South,78061,28.8952458,-99.1173889
130,Interstate 35 South,78061,28.8979577,-99.1135560
1855,West Comal Street,78061,28.8975342,-99.1129820
111,Interstate 35 North,78061,28.9006159,-99.1152879
225,Westview Road,78061,28.8982738,-99.1102722
903,North Oak Street,78061,28.8997356,-99.0933408
203,Arnold Street,78061,28.8997375,-99.0936884
1711,West Comal Street,78061,28.8974535,-99.1114206
1903,West Comal Street,78061,28.8986540,-99.1126461
229,Interstate 35 South,78061,28.8969075,-99.1139883
112,Interstate 35 South,78061,28.8982950,-99.1160863
604,South Lindsey Lane,78061,28.8948786,-99.1115724
1808,West Comal Street,78061,28.8971730,-99.1128336
1707,West Comal Street,78061,28.8970443,-99.1108130
1837,West Comal Street,78061,28.8979597,-99.1120435
170,Medical Drive,78061,28.8981714,-99.1191326
911,Veterans Drive,78061,28.8924064,-99.1187871
1705,West Comal Street,78061,28.8965752,-99.1107128
508,South Oak Street,78061,28.8880422,-99.0960046
407,South Oak Street,78061,28.8890116,-99.0968149
318,South Oak Street,78061,28.8894244,-99.0956254
215,South Ash Street,78061,28.8903290,-99.0948517
500,East San Antonio Street,78061,28.8883071,-99.0933876
601,Athol Lane,78061,28.9033276,-99.0993102
1000,North Oak Street,78061,28.9003932,-99.0920532
1990,Maverick Drive,78061,28.9022433,-99.0892998
1518,North Oak Street,78061,28.9047315,-99.0908927
814,North Oak Street,78061,28.8987508,-99.0928521
607,East Alabama Street,78061,28.8968375,-99.0879859
415,East Florida Street,78061,28.8979707,-99.0908902
523,East Florida Street,78061,28.8970569,-99.0896302
814,North Oak Street,78061,28.8985028,-99.0928325
318,Berry Ranch Road,78061,28.8972057,-99.0841938
600,Berry Ranch Road,78061,28.8984441,-99.0827786
1200,East Frio Street,78061,28.8832142,-99.0866441
604,West Comal Street,78061,28.8912850,-99.1024662
408,West Comal Street,78061,28.8908432,-99.1005196
320,South Mulberry Street,78061,28.8902779,-99.0999590
202,West Comal Street,78061,28.8898754,-99.0988731
422,West Brazos Street,78061,28.8946647,-99.1006591
819,East Brazos Street,78061,28.8919357,-99.0886251
116,South Ash Street,78061,28.8911791,-99.0940388
804,North Oak Street,78061,28.8981191,-99.0929472
412,Interstate 35 South,78061,28.8939411,-99.1176270
613,North Oak Street,78061,28.8968866,-99.0942213
