House number,Street name,Postal code,Latitude,Longitude
3401,Olton Road,79072,34.1851736,-101.7447285
3409,Olton Road,79072,34.1852341,-101.7449168
3413,Olton Road,79072,34.1852878,-101.7450988
3421,Olton Road,79072,34.1854699,-101.7457368
3423,Olton Road,79072,34.1854984,-101.7458176
3433,Olton Road,79072,34.1855681,-101.7460910
3435,Olton Road,79072,34.1856122,-101.7462406
2608,Olton Road,79072,34.1854907,-101.7355352
2608,Olton Road,79072,34.1855020,-101.7354099
2405,West 5th Street,79072,34.1842985,-101.7327360
2403,West 5th Street,79072,34.1842668,-101.7325829
2105,Dimmitt Road,79072,34.2030973,-101.7269350
2309,Columbia Street,79072,34.2060172,-101.7100950
3101,Olton Road,79072,34.1847655,-101.7407724
3101,Olton Road,79072,34.1847255,-101.7408160
1001,Interstate Highway,79072,34.1927556,-101.7511083
1123,North Interstate 27,79072,34.1919207,-101.7511104
113,East 10th Street,79072,34.1910497,-101.7020460
3200,Olton Road,79072,34.1860283,-101.7420930
3200,Olton Road,79072,34.1861258,-101.7421324
3400,Olton Road,79072,34.1866846,-101.7447008
3404,Olton Road,79072,34.1867930,-101.7451213
825,North Austin Street,79072,34.1894190,-101.7047521
909,El Paso Street,79072,34.1901990,-101.7096356
1003,North Interstate 27,79072,34.1903292,-101.7507957
1100,North Interstate 27,79072,34.1912487,-101.7489204
1108,North Interstate 27,79072,34.1917698,-101.7492534
1208,North Interstate 27,79072,34.1930848,-101.7489641
1300,North Interstate 27,79072,34.1945272,-101.7488979
4001,15th Street,79072,34.1946807,-101.7509326
1509,North Interstate 27,79072,34.1952558,-101.7507892
1515,North Interstate 27,79072,34.1958762,-101.7507647
1501,North Interstate 27,79072,34.1960713,-101.7532252
3400,West 4th Street,79072,34.1810139,-101.7458673
2902,West 4th Street,79072,34.1793068,-101.7379520
1900,West 7th Street,79072,34.1878397,-101.7294408
2601,Dimmitt Road,79072,34.2066505,-101.7324073
3305,Olton Road,79072,34.1848988,-101.7441640
3501,Olton Road,79072,34.1855068,-101.7467397
3311,Olton Road,79072,34.1850119,-101.7445738
3701,Olton Road,79072,34.1867864,-101.7490451
4002,Olton Road,79072,34.1884376,-101.7509272
4004,Olton Road,79072,34.1885611,-101.7518237
815,North Interstate 27,79072,34.1888576,-101.7509683
909,North Interstate 27,79072,34.1892124,-101.7509224
911,North Interstate 27,79072,34.1894867,-101.7509771
908,North Interstate 27,79072,34.1896241,-101.7490862
4001,Olton Road,79072,34.1873730,-101.7509891
701,North Interstate 27,79072,34.1866106,-101.7510180
4005,Olton Road,79072,34.1870841,-101.7517720
4009,Olton Road,79072,34.1877095,-101.7520237
4101,Olton Road,79072,34.1876209,-101.7524689
4411,Olton Road,79072,34.1881516,-101.7553354
4605,Olton Road,79072,34.1887301,-101.7575549
4710,Olton Road,79072,34.1901205,-101.7588315
1001,North Interstate 27,79072,34.1893948,-101.7539901
3615,Grandview Drive,79072,34.1847211,-101.7487763
600,North Interstate 27,79072,34.1856697,-101.7487213
3110,Olton Road,79072,34.1857868,-101.7413748
3000,Olton Road,79072,34.1855648,-101.7396852
3010,Olton Road,79072,34.1855779,-101.7403465
3009,West 7th Street,79072,34.1859584,-101.7401972
3201,Olton Road,79072,34.1848730,-101.7422503
3101,Olton Road,79072,34.1847696,-101.7407766
3001,Olton Road,79072,34.1847428,-101.7396460
2909,Olton Road,79072,34.1848550,-101.7390635
2910,Olton Road,79072,34.1855705,-101.7390751
2901,Olton Road,79072,34.1847014,-101.7384713
2803,Olton Road,79072,34.1837597,-101.7376472
2715,Olton Road,79072,34.1845194,-101.7361818
2801,Olton Road,79072,34.1848309,-101.7370322
2620,Olton Road,79072,34.1857093,-101.7364870
2804,Olton Road,79072,34.1855798,-101.7374374
2702,Olton Road,79072,34.1856040,-101.7357330
2602,Olton Road,79072,34.1854870,-101.7348150
2603,Olton Road,79072,34.1846103,-101.7352634
2601,Olton Road,79072,34.1845610,-101.7347622
2509,West 5th Street,79072,34.1845668,-101.7340586
2510,West 5th Street,79072,34.1850510,-101.7334444
2407,West 5th Street,79072,34.1842787,-101.7328793
2401,West 5th Street,79072,34.1839803,-101.7321126
2301,West 5th Street,79072,34.1837954,-101.7310442
2110,West 5th Street,79072,34.1843895,-101.7288911
500,Broadway Street,79072,34.1851195,-101.7023800
225,Broadway Street,79072,34.1815972,-101.7036536
106,West 2nd Street,79072,34.1808318,-101.7039087
203,Austin Street,79072,34.1809461,-101.7045333
201,Austin Street,79072,34.1808085,-101.7045095
2400,Jefferson Drive,79072,34.2049247,-101.7506677
2402,Jefferson Drive,79072,34.2051207,-101.7505634
2404,Jefferson Drive,79072,34.2053189,-101.7504445
2405,Magan Street,79072,34.2050919,-101.7501147
2403,Magan Street,79072,34.2049823,-101.7498996
2401,Magan Street,79072,34.2049070,-101.7496403
2414,Magan Street,79072,34.2056927,-101.7502559
2412,Magan Street,79072,34.2056237,-101.7500372
2410,Magan Street,79072,34.2055198,-101.7498419
2408,Magan Street,79072,34.2054232,-101.7496299
2406,Magan Street,79072,34.2053563,-101.7494172
2404,Magan Street,79072,34.2052598,-101.7492169
2402,Magan Street,79072,34.2051194,-101.7489874
2400,Magan Street,79072,34.2049040,-101.7488496
2509,Jefferson Drive,79072,34.2063462,-101.7504084
2507,Jefferson Drive,79072,34.2061559,-101.7505456
2503,Jefferson Drive,79072,34.2059887,-101.7506626
2501,Jefferson Drive,79072,34.2058177,-101.7507828
