House number,Street name,Postal code,Latitude,Longitude
902,North Main Street,76903,31.4775707,-100.4312427
102,North Magdalen Street,76903,31.4668278,-100.4337030
218,North Oakes Street,76903,31.4681906,-100.4362207
2531,Smith Boulevard,76905,31.4797448,-100.3941976
630,South Oakes Street,76903,31.4534948,-100.4306480
625,Austin Street,76903,31.4544419,-100.4450961
3301,Sherwood Way,76901,31.4441998,-100.4778910
320,West Concho Avenue,76903,31.4583974,-100.4419719
320,West Concho Avenue,76903,31.4583644,-100.4420017
706,South Abe Street,76903,31.4541618,-100.4417534
4471,Sunset Boulevard,76901,31.4361174,-100.5022285
1624,South Chadbourne Street,76903,31.4439892,-100.4341301
800,W Ave D,76903,31.4546064,-100.4461605
3034,W Beauregard,76901,31.4449573,-100.4763860
7410,Knickerbocker Road,76904,31.3757219,-100.4885720
3231,College Hills Boulevard,76904,31.4299218,-100.4805008
1215,June Lane,76905,31.4833120,-100.3985351
1215,June Lane,76905,31.4832671,-100.3985279
5769,Sherwood Way,76901,31.4260553,-100.5141655
5150,Southland Boulevard,76904,31.4264325,-100.5117063
3123,Green Meadow Drive,76904,31.4192879,-100.4879636
18,East Washington Drive,76903,31.4527767,-100.4337880
214,W College Ave,76903,31.4638305,-100.4414511
1006,E 14th Street,76903,31.4803174,-100.4333821
39,West Concho Avenue,76903,31.4591635,-100.4370553
430,West Beauregard Avenue,76903,31.4602643,-100.4476483
3427,Johnson Avenue,76904,31.4261697,-100.4635800
4151,Sunset Drive,76904,31.4304335,-100.5007833
4153,Sunset Drive,76904,31.4306501,-100.5008179
4213,Sunset Drive,76904,31.4311775,-100.5022563
4209,Sunset Drive,76904,31.4311411,-100.5023488
4205,Sunset Drive,76904,31.4310803,-100.5024257
4214,College Hills Boulevard,76904,31.4211642,-100.4834093
4216,College Hills Boulevard,76904,31.4208952,-100.4836160
6005,Knickerbocker Road,76904,31.3948728,-100.4903342
6007,Knickerbocker Road,76904,31.3947148,-100.4904013
5582,Sherwood Way,76901,31.4296677,-100.5129153
5582,Sherwood Way,76901,31.4294488,-100.5132670
5582,Sherwood Way,76901,31.4295137,-100.5131741
5582,Sherwood Way,76901,31.4294061,-100.5133372
5582,Sherwood Way,76901,31.4295805,-100.5130784
5582,Sherwood Way,76901,31.4296362,-100.5129958
3204-C,Sherwood Way,76901,31.4460278,-100.4798020
4001,Sunset Drive,76904,31.4275290,-100.4996766
2601,W Avenue North,76909,31.4409043,-100.4663664
1821,Knickerbocker Road,76904-5553,31.4275528,-100.4584620
36,East Twohig Avenue,76903,31.4619581,-100.4349386
2301,North Bryant Boulevard,76903,31.4801629,-100.4571670
2839,College Hills Boulevard,76904,31.4331756,-100.4811455
124,North Van Buren Street,76901,31.4566277,-100.4603460
1300,West Beauregard Avenue,76901,31.4565678,-100.4543124
362,South FM 2288,76901,31.4987283,-100.5225487
4001,Sunset Drive,76904,31.4276239,-100.4990081
5501,Sherwood Way,76904,31.4262998,-100.5092395
5301,Sherwood Way,76904,31.4276817,-100.5068525
4363,West Houston Harte Expressway,76901,31.4417949,-100.4946027
4351,West Houston Harte Expressway,76901,31.4428292,-100.4939579
3301,Sherwood Way,76901,31.4439046,-100.4786403
3121,Sunset Drive,76904,31.4216155,-100.4808211
2702,West Loop 306,76904,31.4190233,-100.4775228
418,West Avenue B,76903,31.4558398,-100.4412511
203,North Bryant Boulevard,76903,31.4633963,-100.4460948
311,North Bryant Boulevard,76903,31.4645565,-100.4464821
351,Kearney Boulevard,76908,31.4329299,-100.4064762
2104,South Johnson Street,76904,31.4381948,-100.4613795
1919,Knickerbocker Road,76904,31.4304975,-100.4600370
2121,Martin Luther King Drive,76903,31.4800285,-100.4543009
2305,Pulliam Street,76905,31.4644702,-100.3944125
1852,Sherwood Way,76901,31.4542239,-100.4615401
1850,West Beauregard Avenue,76901,31.4538587,-100.4605263
2601,West Avenue N,76909,31.4424674,-100.4654592
2025,South Johnson Street,76909,31.4408505,-100.4651716
3909,Sunset Drive,76904,31.4281082,-100.4956648
4235,Southwest Boulevard,76904,31.4261700,-100.4958659
4002,Sunset Drive,76904,31.4296365,-100.4966265
323,South Chadbourne Street,76903,31.4588891,-100.4361196
5749,Sherwood Way,76901,31.4243073,-100.5129413
4235,Sunset Drive,76904,31.4323260,-100.5012876
4524,West Houston Harte Expressway,76901,31.4410959,-100.5013509
3301,Riverside Golf Club Road,76903,31.4869377,-100.4732804
3504,Arden Road,76901,31.4482103,-100.4836658
3201,West Loop 306,76904,31.4206487,-100.4888394
2919,West Loop 306,76904,31.4191222,-100.4839901
3017,West Loop 306,76904,31.4199634,-100.4866681
3057,West Loop 306,76904,31.4202979,-100.4872823
3401,West Loop 306,76904,31.4222549,-100.4936016
4302,College Hills Boulevard,76904,31.4193881,-100.4850929
2915,West Loop 306,76904,31.4188294,-100.4836170
3434,Green Meadow Drive,76904,31.4225806,-100.4941896
3438,Green Meadow Drive,76904,31.4225981,-100.4948283
2575,West Loop 306,76904,31.4165263,-100.4769877
4210,College Hills Boulevard,76904,31.4214395,-100.4831142
3505,Wildewood Drive,76904,31.4215080,-100.4854867
4560,Sherwood Way,76904,31.4349966,-100.5007530
4525,Sherwood Way,76901,31.4344306,-100.4975144
4141,Sunset Drive,76904,31.4302111,-100.5008196
4309,Sherwood Way,76901,31.4370220,-100.4944578
4505,Sherwood Way,76901,31.4349187,-100.4979767
4555,Sherwood Way,76901,31.4344038,-100.4988739
4397,Sunset Drive,76904,31.4348231,-100.5036315
4333,Sherwood Way,76901,31.4360471,-100.4958047
4238,Sunset Drive,76904,31.4317605,-100.4997965
4385,Sherwood Way,76901,31.4354974,-100.4968322
5665,Sherwood Way,76904,31.4270044,-100.5121302
5749,Sherwood Way,76901,31.4262317,-100.5134146
5525,Sherwood Way,76904,31.4283035,-100.5102167
5225,Sherwood Way,76904,31.4288686,-100.5083604
4032,West Houston Harte Expressway,76901,31.4473915,-100.4959592
4052,West Houston Harte Expressway,76901,31.4465211,-100.4962671
2572,Southwest Boulevard,76901,31.4406838,-100.4965508
4649,West Houston Harte Expressway,76901,31.4392659,-100.4998613
4613,West Houston Harte Expressway,76901,31.4399833,-100.4990475
4450,West Houston Harte Expressway,76901,31.4420665,-100.5000766
4272,West Houston Harte Expressway,76901,31.4440166,-100.4981214
3808,Arden Road,76901,31.4485697,-100.4886291
620,Glenna Street,76901,31.4502428,-100.4878634
621,Glenna Street,76901,31.4505262,-100.4886313
4613,South Jackson Street,76903,31.4245125,-100.4423399
1701,Knickerbocker Road,76904,31.4302891,-100.4560059
4475,Southwest Boulevard,76904,31.4205980,-100.4967909
940,Arroyo Drive,76901,31.4283854,-100.4517484
4325,Sunset Drive,76904,31.4338343,-100.5026194
3301,Sherwood Way,76901,31.4447046,-100.4802419
4646,Knickerbocker Road,76904,31.4142468,-100.4754051
3202,Sherwood Way,76901,31.4460997,-100.4792599
1830,North Bryant Boulevard,76903,31.4767626,-100.4528184
706,South Abe Street,76903,31.4541575,-100.4417238
4360,Sherwood Way,76901,31.4371998,-100.4965906
3418,Clearview Drive,76904,31.4100167,-100.4992001
3409,Clearview Drive,76904,31.4095446,-100.4985927
3405,Clearview Drive,76904,31.4095197,-100.4983408
3401,Clearview Drive,76904,31.4095248,-100.4980919
1730,North Main Street,76905,31.4808957,-100.4308387
2530,Pulliam Street,76905,31.4734452,-100.3963775
1805,Ricks Drive,76905,31.4801001,-100.4083245
1615,Rio Concho Drive,76905,31.4545787,-100.4076487
555,Smith Boulevard,76905,31.4741342,-100.3988825
2531,Smith Boulevard,76905,31.4796725,-100.3940743
