House number,Street name,Postal code,Latitude,Longitude
1004,Maple Street,76266,33.3655005,-97.1786062
1004,Maple Street,76266,33.3654418,-97.1786869
1004,Maple Street,76266,33.3651597,-97.1784717
1108,North Stemmons Street,76266,33.3695293,-97.1772883
1114,North Stemmons Street,76266,33.3697349,-97.1772563
1112,North Stemmons Street,76266,33.3696373,-97.1772689
525,McReynolds Road,76266,33.3607267,-97.1605521
1403,West Chapman Drive,76266,33.3673633,-97.1807639
1401,West Chapman Drive,76266,33.3672028,-97.1804054
651,North Stemmons Street,76266,33.3655453,-97.1814634
903,North Stemmons Street,76266,33.3675679,-97.1797547
1406,West Chapman Drive,76266,33.3665036,-97.1811952
1501,West Chapman Drive,76266,33.3673478,-97.1821872
901,North Stemmons Street,76266,33.3672834,-97.1799491
1405,West Chapman Drive,76266,33.3673977,-97.1811842
1501,Exchange Drive,76266,33.3677281,-97.1819785
701,North Stemmons Street,76266,33.3663997,-97.1806935
1500,Exchange Drive,76266,33.3677360,-97.1822135
145,Acker Street,76266,33.3634397,-97.1830441
812,Keaton Road North,76266,33.3664769,-97.1888951
601,North Stemmons Street,76266,33.3655011,-97.1808650
601,Elm Street,76266,33.3637594,-97.1743927
1412,North Stemmons Street,76266,33.3760316,-97.1765933
808,Keaton Road,76266,33.3654141,-97.1873794
703,S. Stemmons,76266,33.3559650,-97.1829354
400,Benjamin Drive,76266,33.3577205,-97.1888925
1008,North 5th Street,76266,33.3688775,-97.1747800
1006,North 5th Street,76266,33.3685175,-97.1743855
1400,North Stemmons Street,76266,33.3737630,-97.1767155
4025,Windmill Drive,76266,33.3773105,-97.1577065
1850,North Stemmons Street,76266,33.3837765,-97.1758880
455,West Chapman Drive,76266,33.3672855,-97.1735610
4027,Windmill Drive,76266,33.3774875,-97.1577095
1402,North Stemmons Street,76266,33.3742720,-97.1768095
1405,North Stemmons Street,76266,33.3744020,-97.1789715
1100,North Stemmons Street,76266,33.3688685,-97.1774205
602,Ranger Creek Road,76266,33.3585905,-97.1626845
500,North Stemmons Street,76266,33.3641745,-97.1798325
708,South 5th Street,76266,33.3544450,-97.1730865
604,Ranger Creek Road,76266,33.3584375,-97.1628010
600,Ranger Creek Road,76266,33.3587570,-97.1626210
620,South Stemmons Street,76266,33.3571500,-97.1815460
1200,South Stemmons Street,76266,33.3514015,-97.1810420
403,North 7th Street,76266,33.3632488,-97.1758207
502,Elm Street,76266,33.3627105,-97.1743665
403,Pecan Street,76266,33.3641750,-97.1733005
600,South Stemmons Street,76266,33.3575920,-97.1815275
303,Freese Drive,76266,33.3507815,-97.1799535
103,South Stemmons Street,76266,33.3607950,-97.1828255
606,Ranger Creek Road,76266,33.3582855,-97.1629140
501,Bolivar Street,76266,33.3623995,-97.1741035
501,North Stemmons Street,76266,33.3642445,-97.1815070
297,Freese Drive,76266,33.3512295,-97.1799600
900,West Chapman Drive,76266,33.3664620,-97.1769195
900,South 5th Street,76266,33.3505000,-97.1773590
300,Willow Street,76266,33.3585626,-97.1667676
2120,North Stemmons Street,76266,33.3985793,-97.1714250
1901,South Stemmons Street,76266,33.3473086,-97.1837752
700,North Stemmons Street,76266,33.3658475,-97.1787502
600,North Stemmons Street,76266,33.3646782,-97.1791559
303,South Stemmons Street,76266,33.3588031,-97.1836239
105,North Berry Street,76266,33.3624224,-97.1848560
508,North 7th Street,76266,33.3638616,-97.1750813
100,Indian Lane,76266,33.3681852,-97.1593962
291,Indian Lane,76266,33.3648627,-97.1581001
11501,Marion Road,76266,33.3791927,-97.1592181
4102,Windmill Drive,76266,33.3781160,-97.1583598
4104,Windmill Drive,76266,33.3783527,-97.1582898
4105,Windmill Drive,76266,33.3784399,-97.1580094
4103,Windmill Drive,76266,33.3783550,-97.1577377
4101,Windmill Drive,76266,33.3781391,-97.1576741
5004,Lake Park Drive,76266,33.3781648,-97.1586434
4029,Windmill Drive,76266,33.3776618,-97.1576827
5009,Lake Park Drive,76266,33.3776839,-97.1581808
4715,Lake Park Drive,76266,33.3778133,-97.1621128
4801,Lake Park Drive,76266,33.3777952,-97.1618754
1100,West Austin Street,76266,33.3571184,-97.1798115
2040,North Stemmons Street,76266,33.3921272,-97.1756942
