House number,Street name,Postal code,Latitude,Longitude
13750,Southwest Freeway,77478,29.6238294,-95.6004169
1325,State Highway 6,77478,29.6044106,-95.6332343
15900,Southwest Freeway,77478,29.6000278,-95.6233281
19900,Southwest Freeway Frontage Road,77479,29.5646997,-95.6847632
16098,City Walk Boulevard,77479,29.5961262,-95.6223894
15929,City Walk,77479,29.5970048,-95.6206543
903,Eldridge Road,77498,29.6342940,-95.6190240
16300,Southwest Freeway,77479,29.5963452,-95.6277838
16320,Kensington Drive,77479,29.5975000,-95.6295300
16111,Kensington Drive,77479,29.5980500,-95.6262470
530,State Highway 6,77479,29.6076732,-95.6452284
9920,Hwy 90a,77478,29.6255959,-95.6047256
16510,South West Freeway,77479,29.5936000,-95.6318890
15287,Southwest Freeway Frontage Road,77478,29.6054401,-95.6138628
15801,Southwest Freeway Frontage Road,77478,29.5991447,-95.6202791
15980,City Walk,77479,29.5966387,-95.6217626
2323,State Highway 6,77478,29.5975596,-95.6186122
1460,State Highway 6,77479,29.6013392,-95.6322524
1422,State Highway 6,77478,29.6016960,-95.6331295
3,Sugar Creek Center Boulevard,77478,29.6221716,-95.6037835
4777,Sweetwater Blvd,77479,29.5849703,-95.6327529
13739,Southwest Freeway,77478,29.6227165,-95.5983031
16107,Kensington Drive,77479,29.5978046,-95.6258470
4645,State Highway 6,77478,29.5819531,-95.5824256
4645,State Highway 6,77478,29.5820581,-95.5826670
4635,State Highway 6,77478,29.5826319,-95.5834046
4815,State Highway 6,77479,29.5811413,-95.5861807
4514,State Highway 6,77478,29.5812486,-95.5863818
4528,State Highway 6,77478,29.5816872,-95.5855450
3430,State Highway 6,77478,29.5886311,-95.5995381
3401,State Highway 6,77478,29.5890136,-95.6007880
3434,State Highway 6,77478,29.5884818,-95.5990607
3326,State Highway 6,77478,29.5905390,-95.6039852
3135,State Highway 6,77478,29.5934544,-95.6069732
3613,State Highway 6,77478,29.5908328,-95.5983016
16535,Southwest Freeway,77479,29.5926387,-95.6242466
13703,Southwest Freeway,77478,29.6227782,-95.5984241
3591,State Highway 6,77478,29.5910881,-95.5988906
4325,State Highway 6,77478,29.5846482,-95.5875221
4620,State Highway 6,77478,29.5802513,-95.5849431
3203,State Highway 6,77478,29.5932781,-95.6060924
13747,Southwest Freeway,77478,29.6214172,-95.6002811
14015,Southwest Freeway,77478,29.6199109,-95.6023089
13827,Southwest Freeway,77478,29.6212120,-95.5991868
13827,Southwest Freeway,77478,29.6215104,-95.5987898
13849,Southwest Freeway,77478,29.6222483,-95.5978210
13895,Southwest Freeway,77478,29.6215442,-95.5997472
13875,Southwest Freeway,77478,29.6216970,-95.6000397
2745,Town Center Boulevard North,77479,29.5923827,-95.6208710
14090,"Southwest Freeway, Ste 300",77478,29.6182273,-95.6056464
14873,Southwest Freeway,77478,29.6093189,-95.6095563
16517,Southwest Freeway,77479,29.5903449,-95.6240150
6520,US 90A,77498-2012,29.6085690,-95.6580083
1531,State Highway 6,77478,29.6015013,-95.6295253
16926,Southwest Freeway,77479,29.5610415,-95.6892233
19901,Southwest Freeway,77479,29.5721908,-95.6600841
402,Eldridge Road,77478,29.6280340,-95.6177205
9920,Highway 90A,77478,29.6247479,-95.6052822
1875,State Highway 6,77478,29.5999546,-95.6239092
16160,City Walk,77479,29.5956471,-95.6230402
935,Eldridge Road,77498,29.6342224,-95.6192268
14000,University Boulevard,77479,29.5752212,-95.6504883
12926,South Dairy Ashford Road,77478,29.6307555,-95.5988948
13500,West Airport Boulevard,77498,29.6515192,-95.6203385
15200,Southwest Fwy,77478,29.6078176,-95.6163994
2567,Town Center Boulevard,77479,29.5953192,-95.6198537
4610,Sweetwater Boulevard,77479,29.5826737,-95.6300357
1655,Industrial Boulevard,77478,29.6478917,-95.6083874
16605,Southwest Freeway,77479,29.5907363,-95.6294628
17424,West Grand Parkway South,77479,29.5645474,-95.6871766
