House number,Street name,Postal code,Latitude,Longitude
610,East 3rd Street,79556,32.4742455,-100.4031192
9418,North I-20,79556,32.4508914,-100.4412946
100,South Hopkins Road,79556,32.4486706,-100.4436128
501,East Broadway Street,79556,32.4732738,-100.4037067
504,East Broadway Street,79556,32.4718204,-100.4032781
602,East Broadway Street,79556,32.4727686,-100.4023924
2015,Lamar Street,79556,32.4486037,-100.3973163
511,East 1st Street,79556,32.4718226,-100.4027909
604,East Broadway Street,79556,32.4726621,-100.4026009
1000,East Broadway Street,79556,32.4743220,-100.3978516
1105,Lamar Street,79556,32.4586028,-100.4005835
1103,Lamar Street,79556,32.4586856,-100.4006094
1101,Lamar Street,79556,32.4587800,-100.4006394
1006,Lamar Street,79556,32.4594884,-100.4014903
1008,Lamar Street,79556,32.4591795,-100.4014124
1006,Lamar Street,79556,32.4592873,-100.4014420
1010,Lamar Street,79556,32.4590653,-100.4013798
300,SE Georgia Ave,79556,32.4505642,-100.3925450
2000,West Alabama Avenue,79556,32.4588794,-100.4229464
6412,North I-20,79556,32.4863483,-100.3543677
100,Hopkins Road,79556,32.4485950,-100.4434002
1009,East Broadway Street,79556,32.4751632,-100.3984928
200,East Arizona Avenue,79556,32.4530774,-100.3974156
807,West Broadway Street,79556,32.4658432,-100.4164231
300,East Broadway Street,79556,32.4708768,-100.4052856
201,Elm Street,79556,32.4713659,-100.4068705
501,East Broadway Street,79556,32.4730341,-100.4040365
701,East Broadway Street,79556,32.4737379,-100.4018729
601,East Broadway Street,79556,32.4731436,-100.4030011
900,East Broadway Street,79556,32.4738130,-100.3991890
305,Lamar Street,79556,32.4671067,-100.4027907
407,Northeast Georgia Avenue,79556,32.4537644,-100.3933360
1205,Ragland Street,79556,32.4827632,-100.4059339
1801,Lamar Street,79556,32.4514226,-100.3982278
201,Northeast Georgia Avenue,79556,32.4511545,-100.3973081
1201,Mustang Drive,79556,32.4599315,-100.3902594
1700,East 12th Street,79556,32.4810378,-100.3912354
208,Southeast Georgia Avenue,79556,32.4490477,-100.3957338
409,Northeast Georgia Avenue,79556,32.4541588,-100.3919054
411,Northeast Georgia Avenue,79556,32.4545830,-100.3909118
300,Southeast Georgia Avenue,79556,32.4509378,-100.3924103
302,Southeast Georgia Avenue,79556,32.4513119,-100.3915000
601,West Alabama Avenue,79556,32.4585627,-100.4080863
100,Jack Hazzard Drive,79556,32.4848109,-100.4109930
1201,Jennie Street,79556,32.4596206,-100.4144627
301,Northeast Georgia Avenue,79556,32.4514643,-100.3959298
405,Northeast Georgia Avenue,79556,32.4519875,-100.3937073
403,Northeast Georgia Avenue,79556,32.4516584,-100.3944604
309,Northeast Georgia Avenue,79556,32.4513918,-100.3952705
1806,Dent Drive,79556,32.4511451,-100.3968198
102,Northwest Georgia Avenue,79556,32.4506162,-100.3994909
100,Northwest Georgia Avenue,79556,32.4508691,-100.3990956
1811,Lamar Street,79556,32.4508884,-100.3982950
206,Southeast Georgia Avenue,79556,32.4496778,-100.3967814
204,Southeast Georgia Avenue,79556,32.4495564,-100.3973822
2001,Lamar Street,79556,32.4494302,-100.3977429
1712,Lamar Street,79556,32.4516702,-100.3992807
1608,Lamar Street,79556,32.4530329,-100.3996480
1200,Southeast Georgia Avenue,79556,32.4546217,-100.3882296
405,County Road 220,79556,32.4550646,-100.3873236
501,Northeast Georgia Avenue,79556,32.4560587,-100.3899220
9415,South Interstate 20,79556,32.4483744,-100.4415453
217,Avenger Field Road,79556,32.4575041,-100.4658748
700,Bluebonnet Drive,79556,32.4980407,-100.3796604
513,Lamar Street,79556,32.4650442,-100.4024051
700,Lamar Street,79556,32.4629513,-100.4023441
105,East Arizona Avenue,79556,32.4540108,-100.3991632
105,Normandy Avenue,79556,32.4529280,-100.4001346
1710,Lamar Street,79556,32.4520711,-100.3992826
1600,Lamar Street,79556,32.4535202,-100.3997235
1,Lakewood Drive,79556,32.4929437,-100.3911469
2,Lakewood Drive,79556,32.4934205,-100.3912158
18,Lakewood Drive,79556,32.4940157,-100.3888286
3,Lakewood Drive,79556,32.4939563,-100.3915187
5,Greenwood Drive,79556,32.4936996,-100.3902040
7,Greenwood Drive,79556,32.4939805,-100.3903248
3,Greenwood Drive,79556,32.4933988,-100.3901634
1,Greenwood Drive,79556,32.4931057,-100.3900212
4,Lakewood Drive,79556,32.4942664,-100.3909615
5,Lakewood Drive,79556,32.4945827,-100.3904708
20,Lakewood Drive,79556,32.4937498,-100.3890880
15,Lakewood Drive,79556,32.4943112,-100.3891643
21,Lakewood Drive,79556,32.4934461,-100.3896603
2,Greenwood Drive,79556,32.4930182,-100.3905896
6,Greenwood Drive,79556,32.4936920,-100.3908109
4,Greenwood Drive,79556,32.4933660,-100.3906937
8,Lakewood Drive,79556,32.4943406,-100.3898959
13,Lakewood Drive,79556,32.4948530,-100.3891493
11,Lakewood Drive,79556,32.4951117,-100.3892914
10,Lakewood Drive,79556,32.4955491,-100.3894686
12,Lakewood Drive,79556,32.4956913,-100.3891114
9,Lakewood Drive,79556,32.4945281,-100.3895095
17,Lakewood Drive,79556,32.4941114,-100.3895393
19,Lakewood Drive,79556,32.4936845,-100.3897499
405,County Road 119,79556,32.4936303,-100.3821932
401,County Road 119,79556,32.4926766,-100.3827147
510,County Road 119,79556,32.4963948,-100.3783210
3679,State Highway 70,79556,32.4330193,-100.3925878
100,East 3rd Street,79556,32.4707852,-100.4081916
213,East 3rd Street,79556,32.4722359,-100.4073373
309,Cedar Street,79556,32.4728316,-100.4064528
208,East 3rd Street,79556,32.4719754,-100.4064535
209,Cedar Street,79556,32.4721350,-100.4059425
301,East Broadway Street,79556,32.4715200,-100.4061440
201,East 4th Street,79556,32.4728325,-100.4084276
211,East 4th Street,79556,32.4730836,-100.4079924
201,East 3rd Street,79556,32.4718898,-100.4077744
220,Coliseum Drive,79556,32.4856277,-100.4130329
1405,Hoyt Street,79556,32.4854325,-100.3912890
2107,East Broadway Street,79556,32.4823094,-100.3851039
2311,East Broadway Street,79556,32.4829071,-100.3817193
2401,East Broadway Street,79556,32.4829855,-100.3810375
2601,East Broadway Street,79556,32.4835780,-100.3778100
1100,Mohawk Street,79556,32.4841740,-100.3783185
2501,East Broadway Street,79556,32.4832205,-100.3796780
1210,East Broadway Street,79556,32.4757120,-100.3949880
1107,East Broadway Street,79556,32.4759685,-100.3969195
1101,East Broadway Street,79556,32.4757640,-100.3977205
710,East 3rd Street,79556,32.4741623,-100.4016782
400,East Broadway Street,79556,32.4715035,-100.4046074
212,East Broadway Street,79556,32.4706295,-100.4063655
208,West Broadway Street,79556,32.4697940,-100.4101139
400,East Avenue A,79556,32.4709080,-100.4019403
1613,East 12th Street,79556,32.4820309,-100.3915883
1615,East 12th Street,79556,32.4821080,-100.3913254
1621,East 12th Street,79556,32.4822276,-100.3906468
211,Clark Street,79556,32.4644109,-100.4004910
503,East Alabama Avenue,79556,32.4623754,-100.3958712
300,Northwest Georgia Avenue,79556,32.4508697,-100.4012285
500,Northwest Georgia Avenue,79556,32.4507275,-100.4022383
510,Northwest Georgia Avenue,79556,32.4502856,-100.4031051
600,Northwest Georgia Avenue,79556,32.4497615,-100.4046615
603,Southwest Georgia Avenue,79556,32.4478187,-100.4045200
201,West Florida Avenue,79556,32.4479647,-100.3996647
2014,Lamar Street,79556,32.4482475,-100.3982556
2005,Lamar Street,79556,32.4491763,-100.3974499
214,Southeast Georgia Avenue,79556,32.4503835,-100.3938639
216,Southeast Georgia Avenue,79556,32.4498336,-100.3937807
308,Southeast Georgia Avenue,79556,32.4523928,-100.3898767
815,East Arizona Avenue,79556,32.4572720,-100.3905926
9418,North Interstate 20,79556,32.4509844,-100.4411785
9416,North Interstate 20,79556,32.4506108,-100.4399728
50,Hopkins Road,79556,32.4516698,-100.4435307
9526,North Interstate 20,79556,32.4514270,-100.4459508
9521,South Interstate 20,79556,32.4492424,-100.4462160
9413,South Interstate 20,79556,32.4483666,-100.4407442
100,Hopkins Road,79556,32.4472888,-100.4431164
800,East Broadway Street,79556,32.4735947,-100.4003242
705,East 3rd Street,79556,32.4749750,-100.4019549
210,Hailey Street,79556,32.4754419,-100.3989893
300,Hailey Street,79556,32.4760972,-100.3988968
1400,Hailey Street,79556,32.4828041,-100.4007931
1404,Hailey Street,79556,32.4830022,-100.4007213
1401,Skinney Drive,79556,32.4828902,-100.4002205
1402,Skinney Drive,79556,32.4833762,-100.3994786
1405,Woodruff Lane,79556,32.4834675,-100.3989784
1406,Skinney Drive,79556,32.4836938,-100.3990920
1411,Skinney Drive,79556,32.4836629,-100.3998170
1413,Skinney Drive,79556,32.4838231,-100.3995665
1415,Skinney Drive,79556,32.4839719,-100.3994421
1417,Skinney Drive,79556,32.4841156,-100.3992243
1503,Woodruff Lane,79556,32.4843030,-100.3991956
1,Temple Court,79556,32.4846263,-100.4029063
2,Temple Court,79556,32.4847698,-100.4027310
3,Temple Court,79556,32.4849630,-100.4024485
4,Temple Court,79556,32.4847636,-100.4022101
5,Temple Court,79556,32.4845323,-100.4022529
1510,Santa Fe Avenue,79556,32.4843221,-100.4024060
801,East 14th Street,79556,32.4824688,-100.4031542
1418,Hailey Street,79556,32.4843513,-100.3996727
1410,Hailey Street,79556,32.4837867,-100.4004445
1406,Hailey Street,79556,32.4834106,-100.4006282
1729,Hailey Street,79556,32.4883657,-100.3947997
1715,Hailey Street,79556,32.4877364,-100.3959287
1701,Hailey Street,79556,32.4873080,-100.3966055
1611,Hailey Street,79556,32.4868954,-100.3971490
1610,Hailey Street,79556,32.4858269,-100.3967955
1704,Morris Avenue,79556,32.4892257,-100.3938943
1702,Morris Avenue,79556,32.4890004,-100.3938505
9,Club Trail,79556,32.4899411,-100.3928685
8,Club Trail,79556,32.4898561,-100.3929702
7,Club Trail,79556,32.4897487,-100.3930462
6,Club Trail,79556,32.4896453,-100.3931687
5,Club Trail,79556,32.4895603,-100.3932468
4,Club Trail,79556,32.4894526,-100.3933514
3,Club Trail,79556,32.4893723,-100.3934227
1,Club Trail,79556,32.4892555,-100.3935262
1601,Grand Avenue,79556,32.4875232,-100.3891761
1701,Hoyt Street,79556,32.4880683,-100.3914937
1907,Hoyt Street,79556,32.4894667,-100.3918169
1911,Hoyt Street,79556,32.4898155,-100.3918843
1502,East 17th Street,79556,32.4920567,-100.3924888
1900,Country Club Drive,79556,32.4942350,-100.3978480
1,Heritage Court,79556,32.4874208,-100.3947475
2,Heritage Court,79556,32.4871899,-100.3947027
3,Heritage Court,79556,32.4871047,-100.3944216
4,Heritage Court,79556,32.4872612,-100.3941891
5,Heritage Court,79556,32.4875537,-100.3941997
6,Heritage Court,79556,32.4877486,-100.3942646
1601,Morris Avenue,79556,32.4871709,-100.3950951
1603,Morris Avenue,79556,32.4869745,-100.3950856
1605,Morris Avenue,79556,32.4867792,-100.3950209
1611,Morris Avenue,79556,32.4865979,-100.3949164
1613,Morris Avenue,79556,32.4866549,-100.3946659
1615,Morris Avenue,79556,32.4867015,-100.3944715
1617,Morris Avenue,79556,32.4867353,-100.3942047
1619,Morris Avenue,79556,32.4868241,-100.3939486
1625,Morris Avenue,79556,32.4870220,-100.3938157
1627,Morris Avenue,79556,32.4872466,-100.3937995
1629,Morris Avenue,79556,32.4875180,-100.3937338
1631,Morris Avenue,79556,32.4877681,-100.3938192
1633,Morris Avenue,79556,32.4880058,-100.3938841
1606,Morris Avenue,79556,32.4862628,-100.3954820
1604,Morris Avenue,79556,32.4864894,-100.3955100
1602,Morris Avenue,79556,32.4867180,-100.3955406
1600,Morris Avenue,79556,32.4869076,-100.3956328
1610,Morris Avenue,79556,32.4861187,-100.3950078
1612,Morris Avenue,79556,32.4861689,-100.3947596
1614,Morris Avenue,79556,32.4862264,-100.3945061
1616,Morris Avenue,79556,32.4862561,-100.3942533
1618,Morris Avenue,79556,32.4863120,-100.3940027
1620,Morris Avenue,79556,32.4863457,-100.3937048
1622,Morris Avenue,79556,32.4865557,-100.3934895
1624,Morris Avenue,79556,32.4868158,-100.3933798
1626,Morris Avenue,79556,32.4870648,-100.3932583
1628,Morris Avenue,79556,32.4873683,-100.3931768
1630,Morris Avenue,79556,32.4877324,-100.3931893
1632,Morris Avenue,79556,32.4879694,-100.3932894
1634,Morris Avenue,79556,32.4882511,-100.3934090
1700,Hailey Street,79556,32.4866254,-100.3960398
1712,Lou Street,79556,32.4863670,-100.3959065
1710,Lou Street,79556,32.4861399,-100.3958641
1706,Lou Street,79556,32.4859340,-100.3957923
1404,East 17th Street,79556,32.4917009,-100.3941846
1202,Corral Street,79556,32.4601784,-100.3898712
1000,East New Mexico Avenue,79556,32.4589638,-100.3890506
1002,East New Mexico Avenue,79556,32.4590266,-100.3888702
914,East New Mexico Avenue,79556,32.4588905,-100.3894568
912,East New Mexico Avenue,79556,32.4588250,-100.3896749
910,East New Mexico Avenue,79556,32.4588066,-100.3898626
908,East New Mexico Avenue,79556,32.4587553,-100.3900612
906,East New Mexico Avenue,79556,32.4587463,-100.3902910
904,East New Mexico Avenue,79556,32.4586670,-100.3905021
902,East New Mexico Avenue,79556,32.4586145,-100.3906867
900,East New Mexico Avenue,79556,32.4585865,-100.3908727
7526,North Interstate 20,79556,32.4612196,-100.3861809
705,Northeast Georgia Avenue,79556,32.4623618,-100.3854123
1001,Mustang Drive,79556,32.4617366,-100.3899534
901,East Arkansas Avenue,79556,32.4612022,-100.3901758
903,East Arkansas Avenue,79556,32.4612319,-100.3900060
905,East Arkansas Avenue,79556,32.4612650,-100.3898350
1001,East Arkansas Avenue,79556,32.4613028,-100.3896616
1003,East Arkansas Avenue,79556,32.4613342,-100.3894844
515,Newman Street,79556,32.4675987,-100.3934975
1217,Coral Drive,79556,32.4667969,-100.3918776
1200,Town Creek Drive,79556,32.4675466,-100.3906147
1202,Town Creek Drive,79556,32.4673685,-100.3905706
