House number,Street name,Postal code,Latitude,Longitude
2600,Lockwood Street,79373,33.1674996,-101.8161334
1405,Lockwood Street,79373,33.1659774,-101.7948632
1501,South 1st Street,79373,33.1646433,-101.7960848
1717,Main Street,79373,33.1669259,-101.7964370
1600,Lockwood Street,79373,33.1666911,-101.7970549
1700,Avenue K,79373,33.1667334,-101.7988486
1300,Avenue J,79373,33.1618329,-101.7963465
1528,South 4th Street,79373,33.1616539,-101.7958804
2320,Lockwood Street,79373,33.1672250,-101.8102329
2301,North 1st Street,79373,33.1672594,-101.8088407
2220,Lockwood Street,79373,33.1667646,-101.8078284
2001,Lockwood Street,79373,33.1660479,-101.8033837
1800,Lockwood Street,79373,33.1668295,-101.8002654
1925,Avenue P,79373,33.1693948,-101.8075050
1925,Avenue O,79373,33.1693725,-101.8055270
2228,North 4th Street,79373,33.1705858,-101.8083022
2218,North 4th Street,79373,33.1705815,-101.8079302
2216,North 4th Street,79373,33.1705756,-101.8076734
2208,North 4th Street,79373,33.1705923,-101.8074680
2206,North 4th Street,79373,33.1705960,-101.8071926
1801,Avenue J,79373,33.1679828,-101.7971282
1616,Lockwood Street,79373,33.1667160,-101.7978842
1615,Lockwood Street,79373,33.1661398,-101.7979847
1925,Lockwood Street,79373,33.1659522,-101.8027549
1647,Avenue J,79373,33.1660552,-101.7970231
1610,Main Street,79373,33.1654166,-101.7957733
1612,Main Street,79373,33.1654786,-101.7957736
1614,Main Street,79373,33.1655473,-101.7957750
1620,Main Street,79373,33.1655484,-101.7955730
1601,South 1st Street,79373,33.1647351,-101.7980185
1525,Conway Street,79373,33.1643758,-101.7979390
1701,West Access Road,79373,33.1668987,-101.7948324
1801,US 87 Frontage Road,79373,33.1676698,-101.7945805
1400,North 5th Street,79373,33.1714603,-101.7940114
2415,US 87 Frontage Road,79373,33.1739368,-101.7944948
2431,Main Street,79373,33.1745371,-101.7963927
2433,Main Street,79373,33.1749883,-101.7965196
1410,North 7th Street,79373,33.1734653,-101.7945062
1508,North 7th Street,79373,33.1733837,-101.7957539
1506,North 7th Street,79373,33.1733922,-101.7955444
1428,North 7th Street,79373,33.1733628,-101.7951094
2429,Main Street,79373,33.1739999,-101.7963353
2415,Main Street,79373,33.1735899,-101.7963211
1520,North 7th Street,79373,33.1733468,-101.7964673
2421,Main Street,79373,33.1737695,-101.7963028
1616,North 7th Street,79373,33.1734521,-101.7969894
1622,North 7th Street,79373,33.1734033,-101.7975866
2401,Avenue K,79373,33.1742013,-101.7986643
2000,Avenue D,79373,33.1642423,-101.7898535
810,Lockwood Street,79373,33.1669797,-101.7844567
501,Avenue J,79373,33.1524722,-101.7977370
1420,South 5th Street,79373,33.1603464,-101.7951148
1421,South 5th Street,79373,33.1598780,-101.7950829
1401,South 6th Street,79373,33.1585056,-101.7945352
1519,Avenue H,79373,33.1645921,-101.7950532
1517,South 2nd Street,79373,33.1638399,-101.7979403
1400,Avenue K,79373,33.1632064,-101.7980855
1431,Avenue J,79373,33.1633616,-101.7970932
2528,Lockwood Street,79373,33.1668723,-101.8147767
2514,Lockwood Street,79373,33.1668559,-101.8142610
2500,Lockwood Street,79373,33.1668303,-101.8134507
2415,Lockwood Street,79373,33.1662157,-101.8126568
2413,Lockwood Street,79373,33.1662079,-101.8120165
2409,Lockwood Street,79373,33.1662182,-101.8116364
2405,Lockwood Street,79373,33.1662350,-101.8112917
2401,Lockwood Street,79373,33.1662113,-101.8109347
2414,Lockwood Street,79373,33.1667852,-101.8121805
2412,Lockwood Street,79373,33.1667766,-101.8117916
2402,Lockwood Street,79373,33.1667565,-101.8112046
2400,Lockwood Street,79373,33.1668214,-101.8109173
2205,Lockwood Street,79373,33.1661739,-101.8078565
1629,Avenue P,79373,33.1659349,-101.8066936
2129,Lockwood Street,79373,33.1661989,-101.8061910
2321,Lockwood Street,79373,33.1661602,-101.8104141
2313,Lockwood Street,79373,33.1662234,-101.8098148
2309,Lockwood Street,79373,33.1662467,-101.8094921
2305,Lockwood Street,79373,33.1662303,-101.8092057
2301,Lockwood Street,79373,33.1662127,-101.8088445
2429,North 5th Street,79373,33.1710629,-101.8124775
2411,North 5th Street,79373,33.1711076,-101.8116209
2401,North 5th Street,79373,33.1711042,-101.8109482
1329,South 4th Street,79373,33.1611773,-101.7933102
1204,Avenue F,79373,33.1605422,-101.7920286
1308,Avenue H,79373,33.1619124,-101.7950299
1300,Avenue H,79373,33.1616670,-101.7951235
1426,South 4th Street,79373,33.1616703,-101.7947587
1428,Avenue P,79373,33.1637666,-101.8061297
2101,South 2nd Street,79373,33.1639195,-101.8049127
2148,South 2nd Street,79373,33.1642817,-101.8062432
2124,South 2nd Street,79373,33.1643268,-101.8057249
2100,South 2nd Street,79373,33.1643291,-101.8049333
2529,North 1st Street,79373,33.1672684,-101.8147900
2528,North 1st Street,79373,33.1677459,-101.8148130
2522,North 1st Street,79373,33.1677567,-101.8144992
2501,North 1st Street,79373,33.1672364,-101.8131169
2511,North 1st Street,79373,33.1672273,-101.8140893
2509,North 1st Street,79373,33.1672414,-101.8137670
2505,North 1st Street,79373,33.1672466,-101.8134439
2518,North 1st Street,79373,33.1677426,-101.8141716
2514,North 1st Street,79373,33.1677458,-101.8138814
2510,North 1st Street,79373,33.1677044,-101.8134609
2500,North 1st Street,79373,33.1677433,-101.8131575
2327,Avenue J,79373,33.1728910,-101.7970804
2321,Main Street,79373,33.1729954,-101.7963707
2301,Main Street,79373,33.1725443,-101.7963890
2129,Main Street,79373,33.1710952,-101.7964152
2125,Main Street,79373,33.1707308,-101.7963620
2101,Main Street,79373,33.1704825,-101.7963630
1302,North 6th Street,79373,33.1724662,-101.7926236
1300,North 6th Street,79373,33.1723124,-101.7923430
1224,North 7th Street,79373,33.1734445,-101.7919129
1420,North 5th Street,79373,33.1714307,-101.7950032
1617,North 5th Street,79373,33.1710301,-101.7975693
1900,Main Street,79373,33.1685676,-101.7955954
1813,US 87 Frontage Road,79373,33.1680930,-101.7946655
1409,North 3rd Street,79373,33.1691323,-101.7945528
