House number,Street name,Postal code,Latitude,Longitude
301,Tanger Drive,75160,32.7020889,-96.2828990
301,Tanger Drive,75160,32.7025722,-96.2839894
301,Tanger Drive,75160,32.7033672,-96.2850731
301,Tanger Drive,75160,32.7018187,-96.2822893
301,Tanger Drive,75160,32.7026248,-96.2841080
301,Tanger Drive,75160,32.7043447,-96.2845186
301,Tanger Drive,75160,32.7036599,-96.2849071
301,Tanger Drive,75160,32.7035455,-96.2849720
301,Tanger Drive,75160,32.7039540,-96.2847402
301,Tanger Drive,75160,32.7040630,-96.2846784
301,Tanger Drive,75160,32.7034531,-96.2850244
301,Tanger Drive,75160,32.7033127,-96.2851041
301,Tanger Drive,75160,32.7029794,-96.2849080
301,Tanger Drive,75160,32.7030671,-96.2851058
301,Tanger Drive,75160,32.7038103,-96.2848218
301,Tanger Drive,75160,32.7042004,-96.2846005
301,Tanger Drive,75160,32.7032501,-96.2851396
301,Tanger Drive,75160,32.7019558,-96.2825987
301,Tanger Drive,75160,32.7016555,-96.2819212
301,Tanger Drive,75160,32.7031959,-96.2851704
301,Tanger Drive,75160,32.7015616,-96.2817095
301,Tanger Drive,75160,32.7021558,-96.2830500
301,Tanger Drive,75160,32.7014572,-96.2814738
301,Tanger Drive,75160,32.7017374,-96.2821059
301,Tanger Drive,75160,32.7020203,-96.2827442
301,Tanger Drive,75160,32.7022261,-96.2832086
301,Tanger Drive,75160,32.7025014,-96.2838296
301,Tanger Drive,75160,32.7026772,-96.2842262
301,Tanger Drive,75160,32.7027865,-96.2844729
301,Tanger Drive,75160,32.7022959,-96.2833660
301,Tanger Drive,75160,32.7027340,-96.2843544
301,Tanger Drive,75160,32.7028413,-96.2845966
301,Tanger Drive,75160,32.7030208,-96.2850015
301,Tanger Drive,75160,32.7030863,-96.2851493
301,Tanger Drive,75160,32.7024372,-96.2836848
301,Tanger Drive,75160,32.7029260,-96.2847876
301,Tanger Drive,75160,32.7030443,-96.2850544
1446,West Moore Avenue,75160,32.7382203,-96.2989749
1446,West Moore Avenue,75160,32.7382112,-96.2990312
1446,West Moore Avenue,75160,32.7384784,-96.2991112
1446,West Moore Avenue,75160,32.7381751,-96.2992056
654,North Rockwall Street,75160,32.7424246,-96.2791048
646,North Rockwall Street,75160,32.7422260,-96.2791450
634,North Rockwall Street,75160,32.7419824,-96.2792094
1400,West Moore Avenue,75160,32.7390312,-96.2980532
1700,Wilson Road,75161,32.6907067,-96.2438891
1700,Wilson Road,75161,32.6907629,-96.2439660
1700,Wilson Road,75161,32.6910152,-96.2442512
1300,FM 148,75160,32.7194466,-96.3262391
634,American Way,75160,32.7197133,-96.3260085
1736,North Frances Street,75160,32.7551597,-96.2659026
1738,North Frances Street,75160,32.7552244,-96.2658168
301,East Moore Avenue,75160,32.7362757,-96.2749015
305,East Moore Avenue,75160,32.7362587,-96.2747295
307,East Moore Avenue,75160,32.7362536,-96.2745716
311,East Moore Avenue,75160,32.7362400,-96.2744380
313,East Moore Avenue,75160,32.7362230,-96.2743146
315,East Moore Avenue,75160,32.7362264,-96.2741911
201,East Nash Street,75160,32.7378050,-96.2756574
112,North Catherine Street,75160,32.7371821,-96.2769120
110,North Catherine Street,75160,32.7369696,-96.2769737
215,East Moore Avenue,75160,32.7365400,-96.2754393
215,East Moore Avenue,75160,32.7365318,-96.2753125
1592,State Highway 34 South,75160,32.7069947,-96.2787688
1598,State Highway 34 South,75160,32.7066388,-96.2789992
301,East Interstate 20,75160,32.7031317,-96.2746944
305,E I-20,75160,32.7029601,-96.2743422
152,Crossroads Parkway,75160,32.7176797,-96.3198518
209,West Moore Avenue,75160,32.7364444,-96.2789649
1900,West Moore Avenue,75160,32.7399738,-96.3053881
1700,Wilson Road,75161,32.6907568,-96.2454676
1250,State Highway 34 South,75160,32.7198098,-96.2798645
301,Tanger Drive,75160,32.7029351,-96.2834093
1000,West Moore Avenue,75160,32.7375978,-96.2930827
1400,West Moore Avenue,75160,32.7384270,-96.2977207
400,British Flying School Boulevard,75160,32.7094394,-96.2689461
1200,East Brin Street,75160,32.7406563,-96.2647070
921,South Rockwall Avenue,75160,32.7270636,-96.2816753
301,New Hope Street,75160,32.7289795,-96.2867380
207,North Frances Street,75160,32.7382934,-96.2783811
1039,9th St,75160,32.7430350,-96.2965280
