House number,Street name,Postal code,Latitude,Longitude
6237,Rufe Snow Drive,76148,32.8574583,-97.2387372
5633,Watauga Road,76148,32.8609801,-97.2619403
8004,Denton Highway,76148,32.8885774,-97.2591171
8004,"Denton Highway, Watauga Towne Crossing",76148,32.8898170,-97.2589610
8020,Denton Highway,76148,32.8915353,-97.2583456
8000,Denton Highway,76148,32.8896555,-97.2563624
6249,Rufe Snow Drive,76148,32.8587232,-97.2397869
6801,Rufe Snow Drive,76148,32.8731779,-97.2386574
6601,Watauga Road,76148,32.8610816,-97.2400719
6651,Watauga Road,76148,32.8614006,-97.2399301
6317,Rufe Snow Drive,76148,32.8610788,-97.2385193
5924,Haney Drive,76148,32.8590559,-97.2531534
8247,Rufe Snow Drive,76148,32.8912272,-97.2390893
8247,Rufe Snow Drive,76148,32.8913158,-97.2390747
8247,Rufe Snow Drive,76148,32.8913922,-97.2390729
8247,Rufe Snow Drive,76148,32.8914808,-97.2390674
7826,Denton Highway,76148,32.8860960,-97.2595373
8016,Denton Highway,76148,32.8912886,-97.2586409
8020,Denton Highway,76148,32.8916545,-97.2584679
8004,Denton Highway,76148,32.8887683,-97.2578362
8012,Denton Highway,76148-2464,32.8908013,-97.2587032
7600,Whitley Road,76148,32.8812864,-97.2535382
6300,Maurie Drive,76148,32.8621364,-97.2481583
5937,Whitley Road,76148,32.8547641,-97.2558487
6100,Whispering Lane,76148,32.8630054,-97.2490116
6261,Rufe Snow Drive,76148,32.8594974,-97.2385208
8251,Rufe Snow Drive,76148,32.8919493,-97.2392393
6600,Bursey Road,76148,32.8919532,-97.2397049
8247,Rufe Snow Drive,76148,32.8914086,-97.2391629
8251,Rufe Snow Drive,76148,32.8921157,-97.2390180
7604,Denton Highway,76148,32.8826028,-97.2600130
7608,Denton Highway,76148,32.8844343,-97.2592665
8000,Denton Highway,76148-2464,32.8892570,-97.2565891
8004,Denton Highway,76148,32.8884997,-97.2586316
8440,Denton Highway,76148,32.8940370,-97.2582362
8424,Denton Highway,76148,32.8929270,-97.2584167
8416,Denton Highway,76148,32.8926080,-97.2584187
7616,Denton Highway,76148,32.8822425,-97.2588616
7612,Denton Highway,76148,32.8837147,-97.2585701
7612,Denton Highway,76148,32.8832547,-97.2586539
7109,Whitley Road,76148,32.8757583,-97.2556415
7105,Whitley Road,76148,32.8751564,-97.2556280
7404,Bennington Drive,76148,32.8782333,-97.2568901
6005,Chapman Road,76148,32.8682536,-97.2517276
6325,Rufe Snow Drive,76148,32.8615535,-97.2385592
7040,Denton Highway,75116-1911,32.8732175,-97.2615998
6249,Rufe Snow Drive,76148,32.8587760,-97.2400548
6636,Watauga Road,76148,32.8600009,-97.2385223
6241,Rufe Snow Drive,76148,32.8580170,-97.2386731
6850,Denton Highway,76148,32.8702485,-97.2622294
6800,Denton Highway,76148,32.8698022,-97.2617951
8248,Rufe Snow Drive,76148,32.8908967,-97.2390851
