House number,Street name,Postal code,Latitude,Longitude
852,North Main Street,84074,40.5457030,-112.2963540
737,North Main,84074,40.5457030,-112.2987304
960,North Main Street,84074,40.5488729,-112.2977961
970,North Main,84074,40.5493628,-112.2977687
156,East 2000 N,84074,40.5652705,-112.2993480
2326,North 400 East,84074,40.5718679,-112.2924096
154,South Main Street,84074,40.5273581,-112.2991796
131,North Main Street,84074,40.5329606,-112.2988722
322,East 2400 North,84074,40.5723043,-112.2960490
1341,North Main Street,84074,40.5572946,-112.2976620
1480,North 30 West,84074,40.5579646,-112.2984549
1291,North Main Street,84074,40.5569822,-112.2976542
1181,North Main Street,84074,40.5542196,-112.2980227
1024,North Main Street,84074,40.5516045,-112.2974034
1024,North Main Street,84074,40.5513478,-112.2975781
975,North Main,84074,40.5500667,-112.2989922
271 S,Main Street,84074,40.5253600,-112.2982140
47,South Main Street,84074,40.5293414,-112.2973210
256,West 400 South,84074,40.5233800,-112.3056450
1218,North Main Street,84074,40.5553753,-112.2969440
491,North Main Street,84074,40.5403410,-112.2989975
49,North Broadway Street,84074,40.5313766,-112.2882195
361,South 100 East,84074,40.5233956,-112.2951333
253,South 200 East,84074,40.5257724,-112.2924388
2055,North Main Street,84074,40.5666860,-112.2982073
461,South Main Street,84074,40.5217612,-112.2978477
1531,North Main Street,84074,40.5591542,-112.2975293
99,West 1280 North,84074,40.5558836,-112.3007120
1641,North Main Street,84074,40.5607739,-112.2974927
751,East 1000 North,84074,40.5520986,-112.2782447
47,South Main Street,84074,40.5295140,-112.2972738
151,North Main Street,84074,40.5334481,-112.2996166
251,South Main Street,84074,40.5257606,-112.2980722
209,South Main Street,84074,40.5264089,-112.2980930
522,South Main Street,84074,40.5204793,-112.2993576
394,South Main Street,84074,40.5233046,-112.2991351
254,South Main Street,84074,40.5256023,-112.2992254
300,South Main Street,84074,40.5249707,-112.2991680
275,South Main Street,84074,40.5250123,-112.2981793
46,West 100 South,84074,40.5288411,-112.2998653
365,North Main Street,84074,40.5377049,-112.2991755
444,North Main Street,84074,40.5394523,-112.2979788
490,North Main Street,84074,40.5403642,-112.2978886
540,North Main Street,84074,40.5415261,-112.2979107
2371,North 400 East,84074,40.5726095,-112.2943293
464,South Main Street,84074,40.5218069,-112.2992831
397,Upland Drive,84074,40.5249876,-112.2859703
256,South 100 East,84074,40.5253179,-112.2953612
537,East 700 North,84074,40.5452684,-112.2833595
547,East 700 North,84074,40.5452655,-112.2830713
557,East 700 North,84074,40.5452599,-112.2828736
567,East 700 North,84074,40.5452703,-112.2825976
577,East 700 North,84074,40.5452679,-112.2823496
587,East 700 North,84074,40.5452545,-112.2820804
597,East 700 North,84074,40.5452762,-112.2818375
607,620 East,84074,40.5452798,-112.2815581
78,East Utah Avenue,84074,40.5340666,-112.2960262
35,North Broadway Avenue,84074,40.5309269,-112.2889208
35,North Broadway Avenue,84074,40.5310854,-112.2887710
227,East 400 North,84074,40.5388066,-112.2918156
276,East 500 North,84074,40.5397677,-112.2909165
252,East 100 South,84074,40.5283401,-112.2902496
115,South 2nd Street,84074,40.5281947,-112.2902415
125,South 2nd Street,84074,40.5280430,-112.2902692
135,South 2nd Street,84074,40.5278980,-112.2902716
145,South 2nd Street,84074,40.5277553,-112.2902902
153,South 2nd Street,84074,40.5275953,-112.2902697
161,South 2nd Street,84074,40.5274590,-112.2902445
171,South 2nd Street,84074,40.5273085,-112.2902725
179,South 2nd Street,84074,40.5271541,-112.2902572
189,South 2nd Street,84074,40.5270112,-112.2902818
253,East 200 South,84074,40.5268556,-112.2902428
296,East 100 South,84074,40.5283455,-112.2895608
120,South 3rd Street,84074,40.5280878,-112.2895985
134,South 3rd Street,84074,40.5278934,-112.2895495
144,South 3rd Street,84074,40.5277589,-112.2896114
154,South 3rd Street,84074,40.5276177,-112.2895451
162,South 3rd Street,84074,40.5274397,-112.2895529
172,South 3rd Street,84074,40.5273028,-112.2895630
180,South 3rd Street,84074,40.5271564,-112.2895563
190,South 3rd Street,84074,40.5270052,-112.2895368
297,East 200 South,84074,40.5268544,-112.2896154
516,North Main Street,84074,40.5409543,-112.2979549
555,East Vine Street,84074,40.5310857,-112.2822826
57,West Vine Street,84074,40.5303155,-112.3003235
188 N,Broadway Avenue,84074,40.5338558,-112.2878037
99,West 1280 North,84074,40.5560180,-112.2978122
1960,South Main Street,84074,40.4933619,-112.3328303
986,Broadway Avenue,84074,40.5509273,-112.2878222
976,Broadway Avenue,84074,40.5507029,-112.2877808
966,Broadway Avenue,84074,40.5505254,-112.2878100
956,Broadway Avenue,84074,40.5502863,-112.2877977
987,400 East,84074,40.5509566,-112.2873815
975,400 East,84074,40.5507319,-112.2873649
965,400 East,84074,40.5505028,-112.2873630
955,400 East,84074,40.5503091,-112.2873623
16,1st Street,84074,40.5301392,-112.2924424
425,East 1310 North,84074,40.5559335,-112.2861815
435,East 1310 North,84074,40.5559398,-112.2858868
2244,North Berra Boulevard,84074,40.5692704,-112.3014283
15,South 7th Street,84074,40.5298652,-112.2823770
