House number,Street name,Postal code,Latitude,Longitude
911,11th Street,98221,48.5124964,-122.6120331
412,Commercial Avenue,98221,48.5187540,-122.6127318
418,Commercial Avenue,98221,48.5185021,-122.6127267
501,Commercial Avenue,98221,48.5181347,-122.6123250
509,Commercial Avenue,98221,48.5179425,-122.6123240
510,Commercial Avenue,98221,48.5179481,-122.6127544
1312,Commercial Avenue,98221,48.5112101,-122.6132120
1405,Commercial Avenue,98221,48.5107162,-122.6121990
1407,Commercial Avenue,98221,48.5106101,-122.6122040
1419,Commercial Avenue,98221,48.5103480,-122.6122160
1010,14th Street,98221,48.5112189,-122.6134595
3119,Commercial Avenue,98221,48.4966676,-122.6124290
1720,Q Avenue,98221-2300,48.5075139,-122.6116651
1019,10th Street,98221,48.5141098,-122.6139870
807,Commercial Avenue,98221,48.5155779,-122.6123351
216,Commercial Avenue,98221,48.5201481,-122.6126207
2119,Commercial Avenue,98221,48.5046579,-122.6124434
1900,Shannon Point Road,98221,48.5080496,-122.6842702
2201,H Avenue,98221,48.5038646,-122.6246080
516,Commercial Avenue,98221,48.5177491,-122.6127489
1706,Commercial Avenue,98221,48.5081670,-122.6132100
1708,Commercial Avenue,98221,48.5081199,-122.6132100
1710,Commercial Avenue,98221,48.5080604,-122.6132087
1716,Commercial Avenue,98221,48.5079884,-122.6132113
1720,Commercial Avenue,98221,48.5079129,-122.6132046
910,11th Street,98221,48.5135852,-122.6113420
12356,South Fidalgo Bay Road,98221,48.4638231,-122.5835152
1519,Commercial Avenue,98221,48.5087315,-122.6124000
3401,Commercial Avenue,98221,48.4945842,-122.6125560
2009,Skyline Way,98221,48.4933141,-122.6839440
2201,Skyline Way,98221,48.4921245,-122.6842189
2201,Skyline Way,98221,48.4921370,-122.6841391
2201,Skyline Way,98221,48.4921423,-122.6840989
2201,Skyline Way,98221,48.4920988,-122.6841880
2201,Skyline Way,98221,48.4921494,-122.6842182
2520,Commercial Avenue,98221,48.5014152,-122.6130340
3006,Commercial Avenue,98221,48.4976807,-122.6135720
2001,Commercial Avenue,98221,48.5059648,-122.6124320
3022,Oakes Avenue,98221,48.5113368,-122.6444954
2302,Commercial Avenue,98221,48.5035123,-122.6130478
2403,Commercial Avenue,98221,48.5027335,-122.6124302
7601,State Route 20,98221,48.4616983,-122.5825796
12957,Christianson Road,98221,48.4613753,-122.5706150
12549,Christianson Road,98221,48.4615505,-122.5705900
12529,Christianson Road,98221,48.4617986,-122.5706040
914,15th Street,98221,48.5105678,-122.6120735
902,Commercial Avenue,98221,48.5148989,-122.6128010
906,Commercial Avenue,98221,48.5147724,-122.6127853
416 1/2,Commercial Avenue,98221,48.5185765,-122.6127327
414,Commercial Avenue,98221,48.5186600,-122.6127400
1019,Q Avenue,98221,48.5134890,-122.6102098
910,Commercial Avenue,98221,48.5146882,-122.6127812
915,5th Street,98221,48.5181314,-122.6118958
408,Commercial Avenue,98221,48.5188518,-122.6127219
701,Commercial Avenue,98221,48.5165218,-122.6123223
1005,Commercial Avenue,98221,48.5139232,-122.6123169
502,Commercial Avenue,98221,48.5181465,-122.6127380
314,Commercial Avenue,98221,48.5193511,-122.6127300
320,Commercial Avenue,98221,48.5192587,-122.6127327
501,Commercial Avenue,98221,48.5180810,-122.6123403
604,Commercial Avenue,98221,48.5172559,-122.6127493
1702,Commercial Avenue,98221,48.5083594,-122.6134209
