House number,Street name,Postal code,Latitude,Longitude
102,Aplets Way,98815,47.5217894,-120.4698388
107,Evergreen Drive,98815,47.5186855,-120.4851696
107,Evergreen Drive,98815,47.5186858,-120.4852803
107,Evergreen Drive,98815,47.5186863,-120.4854463
107,Evergreen Drive,98815,47.5186867,-120.4855570
107,Evergreen Drive,98815,47.5186811,-120.4857192
107,Evergreen Drive,98815,47.5186823,-120.4858285
107,Evergreen Drive,98815,47.5186410,-120.4851635
107,Evergreen Drive,98815,47.5186414,-120.4852742
107,Evergreen Drive,98815,47.5186451,-120.4853578
107,Evergreen Drive,98815,47.5186471,-120.4854427
107,Evergreen Drive,98815,47.5186474,-120.4855534
107,Evergreen Drive,98815,47.5186407,-120.4856319
107,Evergreen Drive,98815,47.5186445,-120.4857194
107,Evergreen Drive,98815,47.5186457,-120.4858288
107,Evergreen Drive,98815,47.5186442,-120.4850721
107,Evergreen Drive,98815,47.5186477,-120.4859394
307,River Street,98815,47.5221386,-120.4735101
307,River Street,98815,47.5221393,-120.4734566
307,River Street,98815,47.5221402,-120.4733898
307,River Street,98815,47.5221414,-120.4733307
207,Perry Street,98815,47.5229143,-120.4720576
207,Perry Street,98815,47.5230460,-120.4720639
105,Evergreen Drive,98815,47.5177771,-120.4848399
105,Evergreen Drive,98815,47.5177639,-120.4849395
105,Evergreen Drive,98815,47.5178355,-120.4848395
105,Evergreen Drive,98815,47.5178133,-120.4849325
105,Evergreen Drive,98815,47.5179253,-120.4848456
105,Evergreen Drive,98815,47.5178807,-120.4849320
105,Evergreen Drive,98815,47.5180107,-120.4848516
105,Evergreen Drive,98815,47.5179435,-120.4849316
105,Evergreen Drive,98815,47.5180780,-120.4848512
105,Evergreen Drive,98815,47.5180154,-120.4849378
105,Evergreen Drive,98815,47.5181409,-120.4848441
105,Evergreen Drive,98815,47.5180918,-120.4849373
105,Evergreen Drive,98815,47.5179347,-120.4854344
105,Evergreen Drive,98815,47.5178965,-120.4854346
105,Evergreen Drive,98815,47.5178613,-120.4854349
105,Evergreen Drive,98815,47.5178262,-120.4854872
105,Evergreen Drive,98815,47.5178323,-120.4855522
105,Evergreen Drive,98815,47.5178236,-120.4856173
105,Evergreen Drive,98815,47.5178238,-120.4856867
105,Evergreen Drive,98815,47.5178270,-120.4857561
105,Evergreen Drive,98815,47.5178272,-120.4858212
105,Evergreen Drive,98815,47.5178626,-120.4858557
105,Evergreen Drive,98815,47.5178978,-120.4858598
105,Evergreen Drive,98815,47.5179331,-120.4858595
301,Sullivan Street,98815,47.5165156,-120.4811112
301,Sullivan Street,98815,47.5165882,-120.4811108
301,Sullivan Street,98815,47.5166513,-120.4810953
301,Sullivan Street,98815,47.5166758,-120.4810963
301,Sullivan Street,98815,47.5167020,-120.4810974
301,Sullivan Street,98815,47.5167298,-120.4810972
301,Sullivan Street,98815,47.5167577,-120.4810970
301,Sullivan Street,98815,47.5167889,-120.4810968
348,Sunset Highway,98815,47.5212422,-120.4742907
344,Sunset Highway,98815,47.5212092,-120.4740717
346,Sunset Highway,98815,47.5212260,-120.4741779
350,Sunset Highway,98815,47.5212543,-120.4743819
342,Sunset Highway,98815,47.5211934,-120.4739890
321,Independence Way,98815,47.5218255,-120.4734212
323,Independence Way,98815,47.5218322,-120.4734600
325,Independence Way,98815,47.5218405,-120.4735012
327,Independence Way,98815,47.5218472,-120.4735403
319,Independence Way,98815,47.5218189,-120.4733733
317,Independence Way,98815,47.5218138,-120.4733321
315,Independence Way,98815,47.5218039,-120.4732840
313,Independence Way,98815,47.5217958,-120.4732334
311,Independence Way,98815,47.5217860,-120.4731804
309,Independence Way,98815,47.5217762,-120.4731272
307,Independence Way,98815,47.5217697,-120.4730740
255,Independence Way,98815,47.5218121,-120.4724090
251,Independence Way,98815,47.5219079,-120.4724086
259,Independence Way,98815,47.5217161,-120.4724022
331,Independence Way,98815,47.5218572,-120.4736108
329,Independence Way,98815,47.5218538,-120.4735793
333,Independence Way,98815,47.5218672,-120.4736569
253,Independence Way,98815,47.5218599,-120.4724071
249,Independence Way,98815,47.5219483,-120.4724063
257,Independence Way,98815,47.5217646,-120.4724023
203,Mission Avenue,98815,47.5210892,-120.4673103
100,Woodring Street,98815,47.5211984,-120.4675714
203,Mission Avenue,98815,47.5210973,-120.4673719
105,Railroad Avenue,98815,47.5206532,-120.4688106
303,Mission Avenue,98815,47.5207041,-120.4648628
307,Mission Avenue,98815,47.5206294,-120.4645770
305,Mission Avenue,98815,47.5207733,-120.4651182
211,Mission Avenue,98815,47.5210052,-120.4661675
209,Mission Avenue,98815,47.5210182,-120.4662594
101,Maple Street,98815,47.5210099,-120.4657235
100,Maple Street,98815,47.5207851,-120.4651858
100,Maple Street,98815,47.5207936,-120.4652455
100,Maple Street,98815,47.5208033,-120.4652999
102,Maple Street,98815,47.5209272,-120.4650732
102,Maple Street,98815,47.5209388,-120.4651378
205,Mission Avenue,98815,47.5211712,-120.4670355
217,Mission Avenue,98815,47.5209550,-120.4658970
102,Maple Street,98815,47.5209505,-120.4651995
102,Maple Street,98815,47.5209619,-120.4652568
309,Mission Avenue,98815,47.5205133,-120.4640259
102,Maple Street,98815,47.5209725,-120.4653203
205,Mission Avenue,98815,47.5210739,-120.4667144
207,Mission Avenue,98815,47.5210306,-120.4663499
215,Mission Avenue,98815,47.5209756,-120.4660689
217,Mission Avenue,98815,47.5209304,-120.4657491
100,Maple Street,98815,47.5208154,-120.4653595
102,Woodring Street,98815,47.5212825,-120.4675691
203,Mission Avenue,98815,47.5211070,-120.4675744
243,Independence Way,98815,47.5216350,-120.4719812
231,Independence Way,98815,47.5218284,-120.4718328
239,Independence Way,98815,47.5216533,-120.4721133
229,Independence Way,98815,47.5218558,-120.4718306
223,Independence Way,98815,47.5219270,-120.4718325
233,Independence Way,98815,47.5217990,-120.4718290
247,Independence Way,98815,47.5216120,-120.4718447
227,Independence Way,98815,47.5218806,-120.4718353
221,Independence Way,98815,47.5219477,-120.4718288
225,Independence Way,98815,47.5219042,-120.4718333
109,Railroad Avenue,98815,47.5206198,-120.4685457
241,Independence Way,98815,47.5216436,-120.4720429
237,Independence Way,98815,47.5216626,-120.4721880
245,Independence Way,98815,47.5216211,-120.4719061
