House number,Street name,Postal code,Latitude,Longitude
215,West Webster Avenue,98816,47.8350617,-120.0213973
215,West Webster Avenue,98816,47.8350333,-120.0200147
122,South Emerson Street,98816,47.8391982,-120.0172041
104,West Woodin Avenue,98816,47.8401912,-120.0200741
128,East Woodin Avenue,98816,47.8397535,-120.0180686
146,East Woodin Avenue,98816,47.8397290,-120.0171521
116,East Woodin Avenue,98816,47.8397619,-120.0186963
134,East Woodin Avenue,98816,47.8397483,-120.0177929
132,East Woodin Avenue,98816,47.8397498,-120.0178795
204,East Woodin Avenue,98816,47.8397181,-120.0165190
109,South Emerson Street,98816,47.8395459,-120.0166656
204,East Wapato Avenue,98816,47.8387768,-120.0166375
232,East Wapato Avenue,98816,47.8387821,-120.0151520
311,South First Street,98816,47.8378778,-120.0199804
322,West Woodin Avenue,98816,47.8390966,-120.0228150
79,Short Road,98816,47.8478900,-120.0068206
54,Short Road,98816,47.8479872,-120.0091059
68,Short Road,98816,47.8479188,-120.0082583
107,Boyd Road,98816,47.8586525,-120.0580292
136,East Woodin Avenue,98816,47.8397447,-120.0176958
114,South Emerson Street,98816,47.8393811,-120.0171948
206,East Woodin Avenue,98816,47.8397175,-120.0163171
106,East Woodin Avenue,98816,47.8397847,-120.0191982
108,East Woodin Avenue,98816,47.8397822,-120.0190956
144,East Woodin Avenue,98816,47.8397300,-120.0172448
115,South Emerson Street,98816,47.8392152,-120.0166516
115,South Emerson Street,98816,47.8393196,-120.0166489
115,South Emerson Street,98816,47.8391669,-120.0166523
115,South Emerson Street,98816,47.8392685,-120.0166497
806,West Manson Highway,98816,47.8467412,-120.0243032
116,South Emerson Street,98816,47.8392978,-120.0171935
120,North Sanders Street,98816,47.8405884,-120.0144831
118,North Sanders Street,98816,47.8405051,-120.0144820
105,South Apple Blossom Drive,98816,47.8400918,-119.9883360
423,North Columbia Street,98816,47.8433896,-120.0195987
105,West Webster Avenue,98816,47.8359447,-120.0188318
100,Lake Chelan Shores Drive,98816,47.8546410,-120.0615854
100,Lake Chelan Shores Drive,98816,47.8541838,-120.0615944
236,Key Lane,98816,47.8540525,-120.0572167
808,West Manson Road,98816,47.8477033,-120.0255858
619,West Manson Road,98816,47.8466352,-120.0264735
391,Porcupine Lane,98816,47.8476159,-120.0407126
169,Apple Avenue,98816,47.8612007,-120.0781746
806,West Manson Road,98816,47.8467097,-120.0243063
808,West Manson Road,98816,47.8472421,-120.0252412
213,Eldorado Way,98816,47.8610058,-120.0698948
619,West Manson Road,98816,47.8459686,-120.0244500
127,Rudy Circle,98816,47.8621510,-120.0768644
259,Bobcat Lane,98816,47.8481077,-120.0388097
100,Lake Chelan Shores Drive,98816,47.8552698,-120.0617863
619,West Manson Road,98816,47.8463532,-120.0289042
199,Porcupine Lane,98816,47.8493286,-120.0419657
808,West Manson Road,98816,47.8476715,-120.0255863
619,West Manson Road,98816,47.8457020,-120.0288866
123,Crystal Crest Drive,98816,47.8623669,-120.0706063
619,West Manson Road,98816,47.8460585,-120.0268357
619,West Manson Road,98816,47.8457269,-120.0271143
619,West Manson Road,98816,47.8458889,-120.0277540
619,West Manson Road,98816,47.8455607,-120.0277591
619,West Manson Road,98816,47.8463919,-120.0268225
261,Apple Avenue,98816,47.8630250,-120.0771512
312,Apple Avenue,98816,47.8644850,-120.0785388
808,West Manson Road,98816,47.8476679,-120.0252350
808,West Manson Road,98816,47.8472138,-120.0246073
808,West Manson Road,98816,47.8472060,-120.0253773
323,Bluebell Lane,98816,47.8473903,-120.0383725
921,No See Um Road,98816,47.8490787,-120.0314921
148,Waterview Drive,98816,47.8638179,-120.0667729
1301,Dragonfly Court,98816,47.8485012,-120.0370867
100,Lake Chelan Shores Drive,98816,47.8553628,-120.0619600
100,Lake Chelan Shores Drive,98816,47.8555591,-120.0623012
100,Lake Chelan Shores Drive,98816,47.8547461,-120.0619054
619,West Manson Road,98816,47.8456157,-120.0268544
144,Waterview Drive,98816,47.8632962,-120.0673757
100,Lake Chelan Shores Drive,98816,47.8552642,-120.0622529
808,West Manson Road,98816,47.8471266,-120.0242777
100,Lake Chelan Shores Drive,98816,47.8540301,-120.0610794
100,Lake Chelan Shores Drive,98816,47.8544669,-120.0613775
128,Sky Harbor Drive,98816,47.8649569,-120.0685855
122,Mayer Drive,98816,47.8607016,-120.0776463
100,Lake Chelan Shores Drive,98816,47.8551963,-120.0616147
108,Ridgeview Drive,98816,47.8639795,-120.0729568
