House number,Street name,Postal code,Latitude,Longitude
14379,United States Highway 97A,98822,47.6814684,-120.2067301
15029,United States Highway 97A,98822,47.6940408,-120.2073522
1029,Crest Loop,98822,47.6771281,-120.2129724
14946,Golden Delicious Street,98822,47.6927704,-120.2124291
2117,Lakeshore Drive,98822,47.6712918,-120.2141979
2117,Lakeshore Drive,98822,47.6664235,-120.2191051
2331,Albin Drive,98822,47.6728321,-120.2154678
13486,Dunn Street,98822,47.6667404,-120.2286023
15333,United States Highway 97A,98822,47.7026187,-120.2116954
15007,Allison Place,98822,47.6774138,-120.2139626
14907,United States Highway 97A,98822,47.6904863,-120.2056933
2117,Lakeshore Drive,98822,47.6717454,-120.2141185
1021,Columbia Point,98822,47.6681086,-120.2258827
2117,Lakeshore Drive,98822,47.6692132,-120.2171738
14075,Hyland Avenue,98822,47.6760366,-120.2102764
2117,Lakeshore Drive,98822,47.6713477,-120.2147554
14567,United States Highway 97A,98822,47.6840486,-120.2064829
2331,Albin Drive,98822,47.6728130,-120.2154123
1013,Two Rivers Road,98822,47.6687813,-120.2247289
2117,Lakeshore Drive,98822,47.6715006,-120.2145126
2331,Albin Drive,98822,47.6728513,-120.2155410
15301,Lakeview Street,98822,47.7005159,-120.2123615
14906,Golden Delicious Street,98822,47.6906078,-120.2099645
1033,Crest Loop,98822,47.6771224,-120.2137179
15307,Lakeview Street,98822,47.7013022,-120.2130252
2117,Lakeshore Drive,98822,47.6690371,-120.2173513
9990,Saska Way,98822,47.6700354,-120.2302073
15029,United States Highway 97A,98822,47.6937377,-120.2070173
15319,Lakeview Street,98822,47.7018779,-120.2142425
14907,United States Highway 97A,98822,47.6905484,-120.2057100
15250,United States Highway 97A,98822,47.6967285,-120.2111312
14565,United States Highway 97A,98822,47.6838326,-120.2063828
15311,Lakeview Street,98822,47.7016716,-120.2133028
2020,Entiat Way,98822,47.6774825,-120.2083702
2331,Albin Drive,98822,47.6728325,-120.2151624
2117,Lakeshore Drive,98822,47.6693270,-120.2171027
14907,United States Highway 97A,98822,47.6905652,-120.2056852
14907,United States Highway 97A,98822,47.6913062,-120.2060199
2331,Albin Drive,98822,47.6728047,-120.2150791
14907,United States Highway 97A,98822,47.6908402,-120.2058145
15029,United States Highway 97A,98822,47.6938396,-120.2070437
15029,United States Highway 97A,98822,47.6940206,-120.2075508
14907,United States Highway 97A,98822,47.6904641,-120.2057229
2117,Lakeshore Drive,98822,47.6714177,-120.2139808
9959,Griffith Place,98822,47.6718271,-120.2305060
15330,Lakeview Street,98822,47.7018079,-120.2155525
14113,Hyland Avenue,98822,47.6760044,-120.2102548
1022,Columbia Point,98822,47.6681568,-120.2265905
2331,Albin Drive,98822,47.6731741,-120.2150006
2117,Lakeshore Drive,98822,47.6702824,-120.2160724
15009,Allison Place,98822,47.6774097,-120.2135007
10005,Saska Way,98822,47.6659503,-120.2316397
2117,Lakeshore Drive,98822,47.6712640,-120.2148726
14907,United States Highway 97A,98822,47.6904874,-120.2057258
2331,Albin Drive,98822,47.6728382,-120.2149394
1035,Crest Loop,98822,47.6771224,-120.2141133
2117,Lakeshore Drive,98822,47.6714171,-120.2146573
2117,Lakeshore Drive,98822,47.6711776,-120.2149899
14767,Shamel Street,98822,47.6879722,-120.2056525
9951,Griffith Place,98822,47.6718152,-120.2293874
14907,United States Highway 97A,98822,47.6912782,-120.2060155
14135,Kinzel Street,98822,47.6770572,-120.2089824
15029,United States Highway 97A,98822,47.6940383,-120.2070543
9961,Griffith Place,98822,47.6720261,-120.2310102
14907,United States Highway 97A,98822,47.6904630,-120.2056904
2117,Lakeshore Drive,98822,47.6663894,-120.2188624
14379,United States Highway 97A,98822,47.6815860,-120.2067346
2117,Lakeshore Drive,98822,47.6697429,-120.2166453
9986,Saska Way,98822,47.6705359,-120.2304439
15029,United States Highway 97A,98822,47.6940307,-120.2074557
14907,United States Highway 97A,98822,47.6909245,-120.2058610
2117,Lakeshore Drive,98822,47.6708417,-120.2154590
15321,Lakeview Street,98822,47.7016750,-120.2141104
15294,Lakeview Street,98822,47.7004520,-120.2132200
14907,United States Highway 97A,98822,47.6905470,-120.2056860
2117,Lakeshore Drive,98822,47.6689647,-120.2174304
9955,Griffith Place,98822,47.6714358,-120.2296473
3170,Hedding Street,98822,47.6650933,-120.2393394
2117,Lakeshore Drive,98822,47.6664997,-120.2189308
2117,Lakeshore Drive,98822,47.6701544,-120.2161500
15254,United States Highway 97A,98822,47.6983581,-120.2114633
2117,Lakeshore Drive,98822,47.6715998,-120.2143888
2117,Lakeshore Drive,98822,47.6715644,-120.2139093
14907,United States Highway 97A,98822,47.6909231,-120.2058370
2117,Lakeshore Drive,98822,47.6688753,-120.2175350
15299,Lakeview Street,98822,47.7004068,-120.2118115
2331,Albin Drive,98822,47.6729952,-120.2148632
15029,United States Highway 97A,98822,47.6936859,-120.2074730
15297,Lakeview Street,98822,47.7005770,-120.2113548
2117,Lakeshore Drive,98822,47.6677620,-120.2184107
14907,United States Highway 97A,98822,47.6904874,-120.2056664
15229,North Lakeshore Drive,98822,47.6977812,-120.2063562
14907,United States Highway 97A,98822,47.6912204,-120.2060312
14565,United States Highway 97A,98822,47.6838723,-120.2063823
2117,Lakeshore Drive,98822,47.6711168,-120.2151091
9966,Griffith Place,98822,47.6716265,-120.2313936
14543,United States Highway 97A,98822,47.6831565,-120.2065808
2117,Lakeshore Drive,98822,47.6698975,-120.2164427
15020,United States Highway 97A,98822,47.6930851,-120.2088943
2036,Entiat Way,98822,47.6765881,-120.2088448
14907,United States Highway 97A,98822,47.6911887,-120.2060283
