House number,Street name,Postal code,Latitude,Longitude
650,1st Avenue Northeast,98027,47.5364810,-122.0308910
80,Front Street South,98027-3819,47.5294457,-122.0354337
1125,Northwest Gilman Boulevard,98027,47.5449366,-122.0534960
1145,Northwest Gilman Boulevard,98027,47.5451693,-122.0558112
730,Northwest Gilman Boulevard,98027,47.5446294,-122.0491340
1810,12th Avenue Northwest,98027,47.5513499,-122.0563420
1810,12th Avenue Northwest,98027,47.5513358,-122.0556466
1810,12th Avenue Northwest,98027,47.5513318,-122.0554140
108,Front Street North,98027,47.5315491,-122.0363700
303,Front Street North,98027,47.5330451,-122.0368435
98,Front Street North,98027,47.5313303,-122.0363854
88,Front Street South,98027,47.5289901,-122.0352264
70,Front Street South,98027,47.5296426,-122.0354770
96,Front Street South,98027,47.5290019,-122.0357995
1802,12th Avenue Northwest,98027,47.5502213,-122.0560980
1810,12th Avenue Northwest,98027,47.5513256,-122.0549427
60,Northwest Gilman Boulevard,98027,47.5393689,-122.0371750
6160,East Lake Sammamish Parkway Southeast,98029,47.5470530,-122.0395280
1025,Northwest Gilman Boulevard,98027,47.5445806,-122.0535022
1422,10th Way Northeast,98029,47.5412625,-122.0167454
1567,Highlands Drive Northeast,98029,47.5431366,-122.0192280
1464,Highlands Drive Northeast,98029,47.5418616,-122.0186690
1480,Highlands Drive Northeast,98029,47.5421223,-122.0184650
1396,Brooklyn Walk Northeast,98029,47.5407259,-122.0172482
1303,Brooklyn Walk Northeast,98029,47.5394006,-122.0175414
1304,Brooklyn Walk Northeast,98029,47.5394005,-122.0172718
1305,Brooklyn Walk Northeast,98029,47.5394506,-122.0175442
1306,Brooklyn Walk Northeast,98029,47.5394456,-122.0172710
1307,Brooklyn Walk Northeast,98029,47.5394967,-122.0175430
1308,Brooklyn Walk Northeast,98029,47.5394977,-122.0172701
1309,Brooklyn Walk Northeast,98029,47.5395569,-122.0175448
1310,Brooklyn Walk Northeast,98029,47.5395565,-122.0172690
1312,Brooklyn Walk Northeast,98029,47.5396024,-122.0172682
1313,Brooklyn Walk Northeast,98029,47.5396043,-122.0175416
1314,Brooklyn Walk Northeast,98029,47.5396495,-122.0172674
1317,Brooklyn Walk Northeast,98029,47.5396547,-122.0175420
1324,Brooklyn Walk Northeast,98029,47.5397512,-122.0172656
