House number,Street name,Postal code,Latitude,Longitude
4001,West 27th Avenue,99337,46.1839395,-119.1758830
325,South Union Street,99336,46.2066158,-119.1795460
2700,South Quillan Street,99337,46.1843297,-119.1743121
2703,South Quillan Street,99337,46.1841514,-119.1736362
5204,West Clearwater Avenue,99336,46.2138661,-119.1926930
901,North Columbia Center Boulevard,99336,46.2204574,-119.2246787
901,North Columbia Center Boulevard,99336,46.2204604,-119.2248045
4402,So. Kent St.,99337,46.1694544,-119.1335744
4008,West 27th Avenue,99337,46.1850612,-119.1754380
3013,West Clearwater Avenue,99336,46.2120421,-119.1613918
3715,Plaza Way,99338,46.1769541,-119.1889336
7048,West Grandridge Boulevard,99336,46.2179090,-119.2176480
731,Columbia Center Boulevard,99336,46.2169191,-119.2262403
1102,North Columbia Center Boulevard,99336,46.2212064,-119.2233266
7407,West Canal Drive,99336-7615,46.2262351,-119.2204363
6607,West Canal Drive,99336,46.2263072,-119.2105879
6607,West Canal Drive,99336,46.2263252,-119.2101190
7600,West Clearwater Avenue,99336,46.2101528,-119.2249870
12231,West Clearwater Avenue,99338,46.1966135,-119.2647556
12231,West Clearwater Avenue,99338,46.1967275,-119.2648167
320,South Washington Street,99336,46.2047721,-119.1173144
203,West 1st Avenue,99336,46.2075005,-119.1203041
6809,West Canal Drive,99336,46.2250604,-119.2121516
2831,West Kennewick Avenue,99336,46.2083075,-119.1607376
2903,West Kennewick Avenue,99336,46.2083248,-119.1611073
1321,North Columbia Center Boulevard,99336,46.2261304,-119.2284409
6705,West Canal Drive,99336,46.2251133,-119.2103907
6807,West Canal Drive,99336,46.2250521,-119.2113107
6803,West Canal Drive,99336-7673,46.2250725,-119.2117855
6815,West Canal Drive,99336,46.2250966,-119.2126940
1321,North Columbia Center Boulevard,99336,46.2248988,-119.2272813
1321,North Columbia Center Boulevard,99336,46.2238396,-119.2262863
1026,North Colorado Street,99336,46.2206467,-119.2229060
1821,South Washington Street,99337,46.1911012,-119.1164540
5020,West Clearwater Avenue,99336,46.2127345,-119.1889180
5011,West Clearwater Avenue,99336,46.2121362,-119.1886956
5011,West Clearwater Avenue,99336,46.2119428,-119.1887185
3700,West Canyon Lakes Drive,99337,46.1788820,-119.1706770
220,West Vista Way,99336,46.2122087,-119.1582070
210,South Dawes Street,99336,46.2076482,-119.1909408
208,South Dawes Street,99336,46.2077198,-119.1910420
212,South Dawes Street,99336,46.2075615,-119.1909427
4804,West Clearwater Avenue,99336,46.2131814,-119.1848050
1380,N Lousiana St,99336,46.2245237,-119.2324430
116,West 1st Avenue,99336,46.2077609,-119.1190534
8202,West Quinault Street,99336,46.2234804,-119.2316570
3311 ste B140,West Clearwater Avenue,99336,46.2112247,-119.1668394
4309,West 27th Place,99338,46.1854755,-119.1800230
815,North Kellogg Street,99336,46.2190217,-119.2030350
7401,W. Hood Pl,99336,46.2159694,-119.2223840
3019,West Kennewick Avenue,99336,46.2084642,-119.1629623
3107,West Kennewick Avenue,99336,46.2092562,-119.1629084
2811,West 10th Avenue,99336,46.1978099,-119.1613559
7110,West Okanogan Place,99336,46.2226159,-119.2164330
202,South Washington Street,99336,46.2063652,-119.1172355
204,South Washington Street,99336,46.2062965,-119.1172211
206,South Washington Street,99336,46.2062214,-119.1172417
208,South Washington Street,99336,46.2061545,-119.1172542
1611,West Kennewick Avenue,99336,46.2092097,-119.1413185
1611,West Kennewick Avenue,99336,46.2092134,-119.1412032
1022,Columbia Center Boulevard,99336,46.2207313,-119.2236677
1620,West 4th Avenue,99336,46.2059099,-119.1415332
1618,West 4th Avenue,99336,46.2059095,-119.1414634
1526,West 4th Avenue,99336,46.2058830,-119.1402481
1524,West 4th Avenue,99336,46.2058830,-119.1400731
222,East Bruneau Avenue,99336,46.2105728,-119.1126957
222,East Bruneau Avenue,99336,46.2105756,-119.1128419
10,North Washington Street,99336,46.2090365,-119.1164638
2,West Kennewick Avenue,99336,46.2089521,-119.1172242
101,South Washington Street,99336,46.2072240,-119.1165885
1724,West 45th Avenue,99336,46.1693937,-119.1418390
128,South Ely Street,99336,46.2080422,-119.1595071
2617,West Kennewick Avenue,99336,46.2090137,-119.1570401
3506,West Clearwater Avenue,99336,46.2126673,-119.1691030
517,North Johnson Street,99336,46.2151867,-119.1657937
4305,West 27th Place,99338,46.1851620,-119.1790339
127,West Canal Drive,99336,46.2098980,-119.1196979
34,North Benton Street,99336,46.2099085,-119.1197969
322,West Kennewick Avenue,99336,46.2088187,-119.1226702
320,West Kennewick Avenue,99336,46.2088187,-119.1225964
318,West Kennewick Avenue,99336,46.2088185,-119.1225280
316,West Kennewick Avenue,99336,46.2088181,-119.1224522
314,West Kennewick Avenue,99336,46.2088173,-119.1223228
303½,West Kennewick Avenue,99336,46.2085783,-119.1217596
309,West Kennewick Avenue,99336,46.2085791,-119.1219332
311,West Kennewick Avenue,99336,46.2085797,-119.1220526
313,West Kennewick Avenue,99336,46.2085803,-119.1221719
315,West Kennewick Avenue,99336,46.2085813,-119.1223677
317,West Kennewick Avenue,99336,46.2085815,-119.1224073
319,West Kennewick Avenue,99336,46.2085822,-119.1225595
319,West Kennewick Avenue,99336,46.2085823,-119.1225823
321,West Kennewick Avenue,99336,46.2085826,-119.1226447
323,West Kennewick Avenue,99336,46.2085830,-119.1227171
325,West Kennewick Avenue,99336,46.2085832,-119.1227640
5,South Dayton Street,99336,46.2084005,-119.1228035
7,South Dayton Street,99336,46.2083606,-119.1228038
9,South Dayton Street,99336,46.2083179,-119.1228041
1659,North Columbia Center Boulevard,99336,46.2276411,-119.2246303
1659,North Columbia Center Boulevard,99336,46.2274565,-119.2246263
1321,North Columbia Center Boulevard,99336,46.2252298,-119.2288494
2417,West Kennewick Avenue,99336,46.2092213,-119.1527573
428,East Columbia Drive,99337,46.2119043,-119.1101587
428,East Columbia Drive,99337,46.2119108,-119.1100031
12,West Kennewick Avenue,99336,46.2089469,-119.1177697
7530,West Clearwater Avenue,99336,46.2102492,-119.2243474
7501,West Deschutes Place,99336,46.2113763,-119.2224580
104,East 41st Place,99337,46.1714986,-119.1158697
6827,West Clearwater Avenue,99336,46.2102350,-119.2116405
8505,Gage Boulevard,99336-8120,46.2254767,-119.2347215
1200,Columbia Center Boulevard,99336-1117,46.2237095,-119.2230032
4,North Union Street,99336,46.2105400,-119.1793272
1620,South Union Street,99338,46.1937543,-119.1812988
1321,North Columbia Center Boulevard,99336,46.2263617,-119.2279517
6504,West Okanogan Avenue,99336,46.2174593,-119.2089986
845,Columbia Center Boulevard,99336,46.2190396,-119.2273409
900,South Auburn Street,99336,46.1991710,-119.1207655
600,South Auburn Street,99336,46.2022176,-119.1190459
6011,West 10th Place,99338,46.1967199,-119.2051243
2720,South Quillan Street,99337,46.1827227,-119.1772726
