House number,Street name,Postal code,Latitude,Longitude
221,8th Street,98826,47.5944314,-120.6618840
645,Front Street,98826,47.5946311,-120.6634023
707,US Hwy 2,98826,47.5948953,-120.6632190
735,Front Street,98826,47.5948593,-120.6624548
894,United States Highway 2,98826,47.5961598,-120.6620351
894,United States Highway 2,98826,47.5960609,-120.6621145
932,Front Street,98826,47.5965329,-120.6600093
647,Front Street,98826,47.5945321,-120.6632772
214,8th Street,98826,47.5948576,-120.6616670
633,Front Street,98826,47.5943982,-120.6638448
639,Front Street,98826,47.5945543,-120.6635549
219,9th Street,98826,47.5951928,-120.6605800
11798,US-2,98826,47.5986576,-120.6492130
900,Front Street,98826,47.5961218,-120.6610842
1038,Front Street,98826,47.5976874,-120.6581285
920,Front Street,98826,47.5963898,-120.6602573
224,8th Street,98826,47.5946716,-120.6617005
920,Highway 2,98826,47.5967264,-120.6613775
900,Front Street,98826,47.5960719,-120.6611867
9556,East Leavenworth Road,98826,47.5918817,-120.6592811
116,River Bend Drive,98826,47.5974060,-120.6458245
330,Prospect Street,98826,47.5941457,-120.6750201
330,Prospect Street,98826,47.5939002,-120.6754964
200,8th Street,98826,47.5948423,-120.6616178
220,8th Street,98826,47.5947191,-120.6617977
217,8th Street,98826,47.5945364,-120.6622104
1029,Commercial Street,98826,47.5959504,-120.6581236
217,8th Street,98826,47.5946136,-120.6620366
617,Front Street,98826,47.5939182,-120.6646616
905,Commercial Street,98826,47.5950823,-120.6599596
725,Front Street,98826,47.5946658,-120.6625959
618,Central Avenue,98826,47.6011939,-120.6629761
325,Division Street,98826,47.5957000,-120.6577526
735,Front Street,98826,47.5948203,-120.6622652
330,Prospect Street,98826,47.5941328,-120.6752476
633,Front Street,98826,47.5945087,-120.6635844
119,Stafford Street,98826,47.5964956,-120.6692342
647,Front Street,98826,47.5945753,-120.6633555
217,8th Street,98826,47.5945530,-120.6620662
900,Main Street,98826,47.5947656,-120.6594879
217,8th Street,98826,47.5944848,-120.6622069
617,Front Street,98826,47.5939423,-120.6648270
325,Division Street,98826,47.5957388,-120.6575905
412,Pine Street,98826,47.6008002,-120.6626134
715,Front Street,98826,47.5945984,-120.6629462
330,Prospect Street,98826,47.5941336,-120.6751865
636,Front Street,98826,47.5946436,-120.6638169
905,Commercial Street,98826,47.5950149,-120.6598835
325,Division Street,98826,47.5957083,-120.6581374
612,Central Avenue,98826,47.6010019,-120.6629871
325,Division Street,98826,47.5957484,-120.6576510
721,Front Street,98826,47.5945831,-120.6626933
217,8th Street,98826,47.5945222,-120.6622417
900,Main Street,98826,47.5948704,-120.6596001
643,Front Street,98826,47.5946109,-120.6634281
325,Division Street,98826,47.5956383,-120.6579921
111,Whitman Street,98826,47.5937503,-120.6684763
325,Division Street,98826,47.5956204,-120.6581758
735,Front Street,98826,47.5947844,-120.6623107
325,Division Street,98826,47.5956874,-120.6576938
217,8th Street,98826,47.5945741,-120.6620135
900,Main Street,98826,47.5946992,-120.6596344
325,Division Street,98826,47.5958764,-120.6572271
636,Front Street,98826,47.5947219,-120.6636646
900,Main Street,98826,47.5946543,-120.6595896
601,Central Avenue,98826,47.6008421,-120.6635298
735,Front Street,98826,47.5947717,-120.6622161
911,Commercial Street,98826,47.5952320,-120.6597457
111,Whitman Street,98826,47.5937648,-120.6684117
905,Commercial Street,98826,47.5950461,-120.6599116
325,Division Street,98826,47.5956585,-120.6579983
330,Prospect Street,98826,47.5940769,-120.6754881
715,Front Street,98826,47.5945114,-120.6628516
221,8th Street,98826,47.5944174,-120.6618871
617,Front Street,98826,47.5939055,-120.6647914
735,Front Street,98826,47.5948699,-120.6623263
900,Main Street,98826,47.5948132,-120.6595412
325,Division Street,98826,47.5956016,-120.6581707
111,Whitman Street,98826,47.5938631,-120.6682757
325,Division Street,98826,47.5957251,-120.6577587
325,Division Street,98826,47.5956657,-120.6576897
900,Main Street,98826,47.5947210,-120.6595893
217,8th Street,98826,47.5945022,-120.6621738
217,8th Street,98826,47.5945344,-120.6621020
330,Prospect Street,98826,47.5941456,-120.6749694
636,Front Street,98826,47.5946967,-120.6638525
325,Division Street,98826,47.5956866,-120.6581323
1029,Commercial Street,98826,47.5960248,-120.6579804
217,8th Street,98826,47.5945746,-120.6620733
330,Prospect Street,98826,47.5937669,-120.6750720
1133,United States Highway 2,98826,47.5978705,-120.6572204
325,Division Street,98826,47.5957261,-120.6579475
731,Front Street,98826,47.5947304,-120.6624673
905,Commercial Street,98826,47.5951224,-120.6600045
617,Front Street,98826,47.5938428,-120.6647120
330,Prospect Street,98826,47.5941463,-120.6748551
1029,Commercial Street,98826,47.5960592,-120.6579135
222,8th Street,98826,47.5947158,-120.6617004
617,Front Street,98826,47.5939437,-120.6646931
1029,Commercial Street,98826,47.5959132,-120.6581958
900,Main Street,98826,47.5947993,-120.6597397
617,Front Street,98826,47.5938815,-120.6646310
725,Front Street,98826,47.5946769,-120.6626767
911,Commercial Street,98826,47.5951967,-120.6597091
900,Main Street,98826,47.5947478,-120.6596849
325,Division Street,98826,47.5957045,-120.6579424
330,Prospect Street,98826,47.5941103,-120.6754880
900,Main Street,98826,47.5948201,-120.6596988
325,Division Street,98826,47.5957447,-120.6577627
636,Front Street,98826,47.5946863,-120.6637281
911,Commercial Street,98826,47.5951168,-120.6597250
633,Front Street,98826,47.5943744,-120.6637126
325,Division Street,98826,47.5957772,-120.6571738
117,Stafford Street,98826,47.5964946,-120.6691708
900,Main Street,98826,47.5947188,-120.6594388
647,Front Street,98826,47.5945468,-120.6633283
111,Whitman Street,98826,47.5936876,-120.6684401
911,Commercial Street,98826,47.5951554,-120.6597903
325,Division Street,98826,47.5957570,-120.6572048
330,Prospect Street,98826,47.5940092,-120.6754896
