House number,Street name,Postal code,Latitude,Longitude
7695,Southeast 27th Street,98040,47.5864226,-122.2352494
7620,Southeast 27th Street,98040,47.5870799,-122.2369048
2807,78th Avenue Southeast,98040-2818,47.5853864,-122.2345236
7823,Southeast 28th Street,98040,47.5850259,-122.2329051
7679,Southeast 27th,98040,47.5864282,-122.2356549
2630,77th Avenue Southeast,98040,47.5864889,-122.2380224
3014,78th Ave. SE,98040,47.5835057,-122.2327555
7800,SE 27th Street,98040,47.5868482,-122.2331723
7707,Southeast 27th Street,98040-2844,47.5862273,-122.2341244
3016,78th Avenue Southeast,98040,47.5834340,-122.2327611
3024,78th Avenue Southeast,98040,47.5830998,-122.2327797
7808,Southeast 28th Street,98040,47.5856123,-122.2329413
3018,78th Avenue Southeast,98040,47.5833608,-122.2327665
3028,78th Avenue Southeast,98040,47.5829756,-122.2327650
3026,78th Avenue Southeast,98040,47.5830281,-122.2327591
3022,78th Avenue Southeast,98040,47.5831709,-122.2327746
7858,Southeast 28th Street,98040,47.5856509,-122.2325652
2729,78th Avenue Southeast,98040,47.5859606,-122.2340596
7687,Southeast 27th Street,98040,47.5864352,-122.2354265
7605,Southeast 27th Street,98040,47.5865180,-122.2373080
2601,76th Avenue Southeast,98040,47.5870495,-122.2379852
2601,76th Avenue Southeast,98040,47.5871251,-122.2379872
2601,76th Avenue Southeast,98040,47.5871886,-122.2379813
2558,76th Avenue Southeast,98040,47.5873846,-122.2374097
2448,76th Avenue Southeast,98040,47.5877986,-122.2373851
3218,90th Place Southeast,98040,47.5829682,-122.2179871
3200,West Concord Way,98040,47.5817365,-122.2224907
9001,West Shorewood Drive,98040,47.5795087,-122.2198574
9038,East Shorewood Drive,98040,47.5786469,-122.2211332
9612,Southeast 34th Street,98040,47.5802997,-122.2101187
9314,Southeast 36th Street,98040,47.5767002,-122.2126878
3666,93rd Avenue Southeast,98040,47.5764641,-122.2135108
9016,West Shorewood Drive,98040,47.5805501,-122.2225309
3600,East Mercer Way,98040,47.5771863,-122.2039911
9058,East Shorewood Drive,98040,47.5798970,-122.2185954
9036,East Shorewood Drive,98040,47.5787100,-122.2213768
3605,93rd Avenue Southeast,98040,47.5778337,-122.2136734
3207,Shorewood Drive,98040,47.5807140,-122.2197695
3203,East Lexington Way,98040,47.5803893,-122.2183658
3701,Gallagher Hill Road,98040,47.5764766,-122.2174629
3650,East Mercer Way,98040,47.5772529,-122.2037591
9021,West Shorewood Drive,98040,47.5797428,-122.2220043
3607,93rd Avenue Southeast,98040,47.5777487,-122.2136712
9319,Southeast 36th Street,98040,47.5764586,-122.2130246
9062,East Shorewood Drive,98040,47.5800389,-122.2190778
9059,East Shorewood Drive,98040,47.5796784,-122.2192850
9044,East Shorewood Drive,98040,47.5784913,-122.2197445
17,El Dorado Beach Club Drive,98040,47.5804656,-122.2067949
9316,Southeast 36th Street,98040,47.5766297,-122.2127638
9022,West Shorewood Drive,98040,47.5794113,-122.2225005
9032,East Shorewood Drive,98040,47.5787706,-122.2216658
9024,West Shorewood Drive,98040,47.5792327,-122.2224719
3210,Shorewood Drive,98040,47.5802835,-122.2190362
9050,East Shorewood Drive,98040,47.5784819,-122.2191865
3623,93rd Avenue Southeast,98040,47.5771949,-122.2136700
3204,Shorewood Drive,98040,47.5808025,-122.2189538
3901,97th Avenue Southeast,98040,47.5751968,-122.2093085
3330,97th Avenue Southeast,98040,47.5803485,-122.2088679
3615,93rd Avenue Southeast,98040,47.5774483,-122.2137240
10020,Briarwood Lane,98040,47.5787113,-122.2046289
9312,Southeast 36th Street,98040,47.5768154,-122.2127211
9048,East Shorewood Drive,98040,47.5784426,-122.2193788
9013,West Shorewood Drive,98040,47.5803992,-122.2215649
3611,93rd Avenue Southeast,98040,47.5775387,-122.2137362
2430,84th Avenue Southeast,98040,47.5880623,-122.2249098
2558,76th Avenue Southeast,98040,47.5873510,-122.2365131
7513,Southeast 27th Street,98040,47.5864990,-122.2381690
7720,Southeast 27th Street,98040,47.5870111,-122.2342553
7611,Southeast 29th Street,98040,47.5839844,-122.2365644
3047,78th Avenue Southeast,98040,47.5821547,-122.2347634
7635,Southeast 29th Street,98040,47.5833361,-122.2365135
3003,80th Avenue Southeast,98040,47.5835203,-122.2320229
7615,Southeast 29th Street,98040,47.5838771,-122.2365420
7683,Southeast 27th Street,98040,47.5864483,-122.2354740
7845,Southeast 30th Street,98040,47.5833047,-122.2321022
7837,Southeast 30th Street,98040,47.5834122,-122.2320734
3030,78th Avenue Southeast,98040,47.5827569,-122.2329253
7633,Southeast 29th Street,98040,47.5833812,-122.2365286
7858,Southeast 28th Street,98040,47.5857049,-122.2325385
