House number,Street name,Postal code,Latitude,Longitude
19893,1st Avenue,98148,47.4240722,-122.3357410
19987,1st Avenue,98148,47.4238168,-122.3356960
19901,1st Avenue South,98148-2411,47.4240390,-122.3370547
20017,1st Avenue South,98198,47.4226646,-122.3356618
20018,1st Place Southwest,98166,47.4226884,-122.3361985
20020,1st Place Southwest,98166,47.4226545,-122.3361830
224,South 218th Street,98198,47.4071083,-122.3329857
127,Southwest 200th Street,98166,47.4230708,-122.3362756
20016,2nd Avenue Southwest,98166,47.4227349,-122.3374526
20018,2nd Avenue Southwest,98166,47.4226852,-122.3374456
20013,1st Place Southwest,98166,47.4229003,-122.3369301
141,Southwest 200th Street,98166,47.4230536,-122.3370168
159,Southwest 200th Street,98166,47.4230111,-122.3373805
20022,2nd Avenue Southwest,98166,47.4225145,-122.3374667
20413,10th Place Southwest,98166,47.4189485,-122.3470525
157,Southwest 200th Street,98166,47.4230114,-122.3374462
20015,1st Avenue South,98198,47.4227372,-122.3356617
20024,2nd Avenue Southwest,98166,47.4224636,-122.3374565
20026,1st Place Southwest,98166,47.4224811,-122.3363028
125,Southwest 200th Street,98166,47.4230693,-122.3361917
20011,1st Place Southwest,98166,47.4228477,-122.3369570
20027,1st Place Southwest,98166,47.4224505,-122.3367822
20429,2nd Avenue Southwest,98166,47.4188471,-122.3381152
227,Southwest 208th Street,98166,47.4157913,-122.3388758
20019,1st Place Southwest,98166,47.4226348,-122.3368951
139,Southwest 200th Street,98166,47.4230563,-122.3369539
210,South 218th Street,98198,47.4075942,-122.3334717
141,Southwest 185th Lane,98166,47.4368120,-122.3358455
109,Southwest 185th Lane,98166,47.4370016,-122.3353489
115,Southwest 185th Lane,98166,47.4368091,-122.3353848
101,Southwest 197th Street,98166,47.4261480,-122.3365161
17825,1st Avenue South,98148,47.4426875,-122.3347690
17821,1st Avenue South,98148,47.4427639,-122.3347656
179,Southwest 185th Lane,98166,47.4368938,-122.3367865
171,Southwest 185th Lane,98166,47.4370566,-122.3368059
139,Southwest 185th Lane,98166,47.4368546,-122.3358414
129,Southwest 185th Lane,98166,47.4369641,-122.3358512
135,Southwest 185th Lane,98166,47.4368898,-122.3358517
127,Southwest 185th Lane,98166,47.4370084,-122.3358605
151,Southwest 185th Lane,98166,47.4369274,-122.3360972
147,Southwest 185th Lane,98166,47.4369617,-122.3361022
173,Southwest 185th Lane,98166,47.4370105,-122.3367939
145,Southwest 185th Lane,98166,47.4370042,-122.3361061
177,Southwest 185th Lane,98166,47.4369381,-122.3367931
163,Southwest 185th Lane,98166,47.4369270,-122.3364670
165,Southwest 185th Lane,98166,47.4368872,-122.3364605
157,Southwest 185th Lane,98166,47.4370083,-122.3364827
175,Southwest 185th Lane,98166,47.4369761,-122.3367942
133,Southwest 185th Lane,98166,47.4369270,-122.3358501
421,Southwest 189th Street,98166,47.4336181,-122.3428674
159,Southwest 185th Lane,98166,47.4369649,-122.3364761
153,Southwest 185th Lane,98166,47.4368866,-122.3361000
653,Southwest 185th Street,98166,47.4375466,-122.3445572
652,Southwest 183rd Street,98166,47.4379637,-122.3445325
107,Southwest 197th Street,98166,47.4258715,-122.3364856
109,Southwest 197th Street,98166,47.4257815,-122.3364946
19711,1st Avenue South,98148,47.4261375,-122.3360438
119,Southwest 197th Street,98166,47.4254908,-122.3359964
113,Southwest 197th Street,98166,47.4255979,-122.3364720
115,Southwest 197th Street,98166,47.4254922,-122.3364805
17806,2nd Avenue Southwest,98166,47.4430609,-122.3366849
