House number,Street name,Postal code,Latitude,Longitude
102,West Front Street,98362,48.1198474,-123.4329600
222,North Lincoln Street,98362,48.1197330,-123.4306121
222,North Lincoln Street,98362,48.1199192,-123.4304404
118,East Front Street,98362,48.1194004,-123.4319474
120,East Front Street,98362,48.1193742,-123.4318785
118 1/2,East Front Street,98362,48.1194278,-123.4320048
403,South Lincoln,98362,48.1152908,-123.4342008
633,East 1st Street,98632,48.1148592,-123.4228497
106,West Front Street,98362,48.1199375,-123.4331610
403,South Lincoln Street,98362,48.1154071,-123.4337880
725,East 1st Street,98362,48.1142020,-123.4212145
1210,East Front Street,98362,48.1112229,-123.4123535
2010,Highway 101 West,98363,48.1038089,-123.4904858
2358,Olympic Highway,98363,48.1027373,-123.5004300
2358,Highway 101 WEST,98363,48.1027433,-123.5003309
110,East 3rd Street,98362,48.1159664,-123.4347814
834,East Front Street,98362,48.1138707,-123.4184691
330,East 1st Street,98362,48.1169315,-123.4289852
336,East 8th Street,98362,48.1106732,-123.4339990
112,Del Guzzi Drive,98362,48.1056949,-123.3987233
1940,East 1st Street,98362,48.1056018,-123.4011104
1940,East 1st Street,98362,48.1056663,-123.3994796
110,East 3rd Street,98362,48.1159232,-123.4349086
115,East Railroad Avenue,98362,48.1208227,-123.4303296
115,East Railroad Avenue,98362,48.1206536,-123.4307423
1,Ediz Hook Road,98362,48.1395001,-123.4132795
1,Ediz Hook Road,98362,48.1395680,-123.4140853
1,Ediz Hook Road,98362,48.1399063,-123.4135893
1,Ediz Hook Road,98362,48.1395413,-123.4136529
1,Ediz Hook Road,98362,48.1397489,-123.4136141
330,East 1st Street,98362,48.1166498,-123.4286547
2301,S Francis St,98362,48.1046260,-123.4289263
112,South Lincoln Street,98362,48.1179789,-123.4321560
902,East 1st Street,98362,48.1125645,-123.4188766
902,East 1st Street,98362,48.1126917,-123.4187297
2001,East First Street,98362,48.1066468,-123.3996600
1108,East 1st Street,98362,48.1111894,-123.4150486
511,West 8th Street,98362,48.1165389,-123.4473140
104,West 1st Street,98362,48.1189695,-123.4338429
2021,East 1st Street,98362,48.1067626,-123.3990280
2021,East 1st Street,98362,48.1067328,-123.3988530
304,East Park Avenue,98362,48.1007051,-123.4414178
110,East 3RD Street,98362,48.1164005,-123.4338057
1,Ediz Hook Road,98362,48.1403523,-123.4132432
110,East 3rd Street,98362,48.1159437,-123.4353359
315,North Lincoln Street,98362,48.1202440,-123.4288338
3002,Mount Angeles Road,98362,48.0993289,-123.4257063
1123,East 1st Street,98362,48.1113060,-123.4140376
114,East Lauridsen Boulevard,98362,48.1068262,-123.4446243
905,West 9th Street,98363,48.1190946,-123.4558354
223,East 4th St.,98362,48.1157873,-123.4326243
939,Caroline Street,98362,48.1154183,-123.4146344
401,East Front Street,98362,48.1177324,-123.4269527
405,East Front Street,98362,48.1176336,-123.4267242
1502,East Lauridsen Boulevard,98362,48.1005363,-123.4132441
304,Viewcrest Avenue,98362,48.0971762,-123.4410202
301,Lopez Avenue,98362,48.1049863,-123.4399134
3415,South Peabody Street,98362,48.0949401,-123.4368509
1137,Highway 101 West,98363,48.1064620,-123.4702954
520,East Park Avenue,98362,48.1001893,-123.4356519
1830,East 1st Street,98362,48.1065334,-123.4028316
1908,East 1st Street,98362,48.1064491,-123.4020655
924,West 9th Street,98362,48.1188377,-123.4571004
802,South C Street,98363,48.1202706,-123.4574836
929,West 8th Street,98363,48.1202262,-123.4562930
124,West Railroad Avenue,98362,48.1209807,-123.4332787
123,East Front Street,98362,48.1195788,-123.4311653
131,East 1st Street,98362,48.1185845,-123.4318152
136,East 1st Street,98362,48.1182199,-123.4320276
902,East Front Street,98362,48.1136092,-123.4179604
535,East Front Street,98632,48.1165318,-123.4235986
907,Georgiana Street,98362,48.1148364,-123.4165275
1020,East Front Street,98362,48.1126006,-123.4155442
216,South Francis Street,98362,48.1124999,-123.4224931
322,Fogarty Street,98362,48.1042322,-123.4510728
122,West Lauridsen Boulevard,98362,48.1073755,-123.4464178
2104,East 1st Street,98362,48.1055256,-123.3962912
1807,East Front Street,98362,48.1082605,-123.4027694
205,East 8th Street,98362,48.1123745,-123.4366147
819,South Lincoln Street,98362,48.1114823,-123.4376219
901,South Lincoln Street,98362,48.1110167,-123.4380421
102,North Cedar Street,98363,48.1234061,-123.4446013
