House number,Street name,Postal code,Latitude,Longitude
2909,Bickford Avenue,98290,47.9448168,-122.1079505
2623,Bickford Avenue,98290,47.9427434,-122.1083470
265,Pine Avenue,98290,47.9139225,-122.0851587
511 B,Maple Avenue,98290,47.9181830,-122.0880072
311,Maple Avenue,98290,47.9152996,-122.0883666
1301,Avenue D,98290,47.9277604,-122.0965159
510,2nd Street,98290,47.9138719,-122.0883208
709,2nd Street,98290,47.9126334,-122.0912665
1215,2nd Avenue,98290-2738,47.9125919,-122.0980193
1019,13th Street,98290,47.9267573,-122.0940679
215,Cypress Avenue,98290,47.9134576,-122.0844418
1431,Avenue D,98290,47.9292382,-122.0987402
1429,Avenue D,98290,47.9292518,-122.0990680
1423,Avenue D,98290,47.9291745,-122.0993150
1208,10th Street,98290,47.9244355,-122.0967319
827,Avenue D,98290,47.9226285,-122.0975820
917,Avenue D,98290,47.9232852,-122.0972840
825,Avenue C East,98290,47.9221033,-122.0967550
1001,Avenue D,98290,47.9240712,-122.0974300
1800,Bickford Avenue,98290,47.9328906,-122.1030954
1209,Avenue D,98290,47.9261400,-122.0975195
1430,Bickford Avenue,98290,47.9303635,-122.1010600
1001,Avenue D,98290,47.9241752,-122.0974360
801,1st Street,98290,47.9110637,-122.0929600
801,1st Street,98290,47.9110352,-122.0928891
120,Glen Avenue,98290,47.9124298,-122.0925073
829,2nd Street,98290,47.9124127,-122.0926741
809,2nd Street,98290,47.9127078,-122.0925238
717,1st Street,98290,47.9107693,-122.0925111
709,1st Street,98290,47.9106803,-122.0923263
1426,Bickford Avenue,98290-1722,47.9300669,-122.1010715
801,1st Street,98290,47.9109768,-122.0927835
2529,Bickford Avenue,98290,47.9416932,-122.1076325
801,1st Street,98290,47.9109535,-122.0927316
801,1st Street,98290,47.9110080,-122.0928337
1119,13th Street,98290,47.9260819,-122.0954694
2801,Bickford Avenue,98290,47.9438702,-122.1052064
2601,Bickford Avenue,98290,47.9418707,-122.1054610
1325,Avenue D,98290,47.9284525,-122.0987595
1601,Avenue D,98290,47.9319104,-122.1008959
401,2nd Street,98290,47.9123012,-122.0870866
1525,Avenue D,98290,47.9310289,-122.0995223
168,Lincoln Avenue,98290,47.9119417,-122.0877334
516,Maple Avenue,98290,47.9189674,-122.0899897
506,4th Street,98291,47.9161369,-122.0879278
2603,Bickford Avenue,98290,47.9423711,-122.1077836
2603,Bickford Avenue,98290,47.9423056,-122.1080413
2621,Bickford Avenue,98290,47.9428832,-122.1073899
800,2nd Street,98290,47.9130484,-122.0919441
510,2nd Street,98290,47.9133233,-122.0887136
40,Maple Avenue,98290,47.9095515,-122.0924494
913,2nd Street,98290,47.9126006,-122.0938170
1100,Avenue D,98290,47.9248767,-122.0982053
12027,Three Lakes Road,98290,47.9359151,-122.0682771
427,Maple Avenue,98290,47.9170065,-122.0882085
415,Maple Avenue,98290,47.9164330,-122.0883243
1601,Avenue D,98290,47.9318803,-122.0984231
116,Union Avenue,98290,47.9121708,-122.0935278
121,Glen Avenue,98290,47.9121286,-122.0920139
1401,30th Street Southeast,98290,47.9451161,-122.1004998
400,1st Street,98290,47.9091949,-122.0886506
402,1st Street,98290,47.9092979,-122.0888336
10,Avenue A,98290,47.9107619,-122.0945074
168,Lincoln Avenue,98290,47.9121672,-122.0877103
512,2nd Street,98290,47.9123819,-122.0886072
