House number,Street name,Postal code,Latitude,Longitude
333,Strander Boulevard,98188,47.4556087,-122.2565724
321,Strander Boulevard,98188,47.4556048,-122.2568210
3725,South 144th Street,98168,47.4731269,-122.2853427
349,Tukwila Parkway,98188,47.4609948,-122.2525780
7100,Fun Center Way,98188,47.4654041,-122.2463901
16201,West Valley Highway,98188,47.4581827,-122.2445630
680,Strander Boulevard,98188-2923,47.4577788,-122.2445389
305,Tukwila Parkway,98188,47.4608888,-122.2538581
13038,Interurban Avenue,98168,47.4857347,-122.2728493
4445,South 134th Place,98168,47.4840727,-122.2769663
12201,Tukwila International Boulevard,98168,47.4932599,-122.2938260
17100,South Center Parkway,98188,47.4502035,-122.2621605
17100,Southcenter Parkway,98188,47.4500167,-122.2618816
17250,Southcenter Parkway,98188,47.4490989,-122.2620613
17250,Southcenter Parkway,98188,47.4490009,-122.2621900
17250,Southcenter Parkway,98188,47.4491498,-122.2604290
17150,Southcenter Parkway,98188,47.4498935,-122.2585104
17320,Southcenter Parkway,98188,47.4483084,-122.2611677
17348,Southcenter Parkway,98188,47.4482062,-122.2600750
17356,Southcenter Parkway,98188,47.4480217,-122.2600852
301,Upland Drive,98188,47.4463156,-122.2594730
17570,Southcenter Parkway,98188,47.4452329,-122.2602280
17580,Southcenter Parkway,98188,47.4450921,-122.2601900
17672,Southcenter Parkway,98188,47.4448870,-122.2597779
17770,Southcenter Parkway,98188,47.4444037,-122.2608727
17774,Southcenter Parkway,98188,47.4444132,-122.2605647
17401,Southcenter Parkway,98188,47.4473724,-122.2629370
17401,Southcenter Parkway,98188,47.4471325,-122.2628300
17501,Southcenter Parkway,98188-3720,47.4467914,-122.2633750
400,Strander Boulevard,98188,47.4562042,-122.2526182
240,Andover Park West,98188,47.4564775,-122.2535070
230,Andover Park West,98188,47.4566867,-122.2535012
300,Andover Park West,98188,47.4550183,-122.2525270
300,Andover Park West,98188,47.4542965,-122.2539111
383,Strander Boulevard,98188,47.4553095,-122.2548968
381,Strander Boulevard,98188,47.4552339,-122.2549057
14857,Tukwila International Boulevard,98168,47.4689444,-122.2873211
14855,Tukwila International Boulevard,98168,47.4690734,-122.2872580
6450,Southcenter Boulevard,98188,47.4629244,-122.2526361
6450,Southcenter Boulevard,98188,47.4626992,-122.2528206
17045,Southcenter Parkway,98188,47.4504492,-122.2632356
17197,Southcenter Parkway,98188,47.4493225,-122.2629647
17185,Southcenter Parkway,98188,47.4494375,-122.2632230
17115,Southcenter Parkway,98188,47.4500011,-122.2632212
17165,Southcenter Parkway,98188,47.4495356,-122.2632250
