House number,Street name,Postal code,Latitude,Longitude
1911,Whitney Road,82007,41.1330004,-104.7297400
1782,Prairie Avenue,82009,41.1618411,-104.7975426
2540,Dell Range Boulevard,82009,41.1605311,-104.7775705
8020,Campstool Road,82007,41.1365662,-104.7063786
1806,Capitol Avenue,82001,41.1346513,-104.8167721
255,Storey Boulevard,82009,41.1745323,-104.8239280
1720,Cleveland Avenue,82001,41.1420375,-104.7577159
2205,East Pershing Boulevard,82001,41.1456705,-104.7923340
2301,House Avenue,82001,41.1405788,-104.8154240
4116,Laramie Street,82009,41.1524766,-104.7607500
130,Hobbs Avenue,82009,41.1664012,-104.8271550
130,Hobbs Avenue,82009,41.1661877,-104.8270610
5320,Education Drive,82009,41.1685492,-104.8322170
4017,Rawlins Street,82001,41.1523427,-104.7601710
1739,Meadowland Drive,82001,41.1584020,-104.7987030
1958,Dell Range Boulevard,82009,41.1614210,-104.7927000
1958,Dell Range Boulevard,82009,41.1612310,-104.7927200
1958,Dell Range Boulevard,82009,41.1611415,-104.7927210
1958,Dell Range Boulevard,82007,41.1609784,-104.7927130
2515,Warren Avenue,82002,41.1424639,-104.8180630
1510,East Pershing Boulevard,82002,41.1468209,-104.8035730
4136B,Laramie Street,82001,41.1514546,-104.7590110
4606,North College Drive,82009,41.1608137,-104.7617550
5116,Frontier Mall Drive,82009,41.1645396,-104.7995970
300,East 8th Avenue,82001,41.1536601,-104.8196760
1650,Dell Range Boulevard,82009,41.1607759,-104.8016780
1650,Dell Range Boulevard,82009,41.1608566,-104.8014840
1650,Dell Range Boulevard,82009,41.1608292,-104.8015770
1612,Capitol Avenue,82001,41.1331624,-104.8157960
1950,Blue Grass Circle,82009,41.1592611,-104.7933320
908,East 18th Street,82001,41.1385183,-104.8060070
1616,East Pershing Boulevard,82001,41.1469289,-104.8015343
4000,House Avenue,82009,41.1524997,-104.8200472
2414,East Lincolnway,82001,41.1388211,-104.7879707
2535,East Lincolnway,82001-5449,41.1381444,-104.7860905
3355,East Pershing Boulevard,82001,41.1443336,-104.7690840
408,West 17th Street,82001,41.1328949,-104.8187490
1607,Capitol Avenue,82001,41.1330834,-104.8153160
5116,Frontier Mall Drive,82009,41.1644556,-104.7995350
5116,Frontier Mall Drive,82009,41.1649983,-104.7999670
4516,Stillwater Avenue,82009,41.1598558,-104.7999240
2015,Dell Range Boulevard,82009,41.1597070,-104.7912140
723,East 16th Street,82001,41.1357743,-104.8063523
1111,East Lincolnway,82001,41.1356476,-104.8010726
900,East Lincolnway,82001,41.1367590,-104.8051184
2440,Dell Range Boulevard,82009,41.1605306,-104.7811458
2460,Dell Range Boulevard,82009,41.1605748,-104.7810090
314,Dell Range Boulevard,82009,41.1643524,-104.8228200
3515,East Lincolnway,82001,41.1372803,-104.7657830
3501,East Lincolnway,82001,41.1372545,-104.7673073
5115,Frontier Mall Drive,82009,41.1643890,-104.7994630
5115,Frontier Mall Drive,82009,41.1643511,-104.7994325
3806,Dell Range Boulevard,82009,41.1611069,-104.7638684
3421,Gregg Way,82009,41.1615632,-104.7665242
5800,Yellowstone Road,82009,41.1727300,-104.8297653
3803,Evans Avenue,82001-1429,41.1507426,-104.8184646
3803,Evans Avenue,82001-1429,41.1507504,-104.8183891
311,East 5th Avenue,82001-1419,41.1503480,-104.8192362
309,East 5th Avenue,82001-1419,41.1503480,-104.8192660
320 1/2,East 5th Avenue,82001-1420,41.1506153,-104.8188685
320,East 5th Avenue,82001-1420,41.1506233,-104.8189435
3804,Evans Avenue,82001-1430,41.1507090,-104.8188682
3804 1/2,Evans Avenue,82001-1430,41.1507391,-104.8188712
2120,Capitol Avenue,82001-9996,41.1374194,-104.8187537
1712,Pioneer Avenue,82001,41.1333592,-104.8189020
1101,Logan Avenue,82001,41.1360268,-104.7935789
1603,Capitol Avenue,82001,41.1329737,-104.8152020
4020,Airport Parkway West,82001,41.1531726,-104.8115570
4020,Airport Parkway West,82001,41.1531155,-104.8114638
"203,205",West 17th Street,82001,41.1334089,-104.8161010
1620,East Pershing Boulevard,82001-3238,41.1468542,-104.8011627
1111,East Lincolnway,82001,41.1356809,-104.8011560
5500,Bishop Boulevard,82002,41.1701846,-104.8416254
4771,Sagebrush Avenue,82009,41.1631721,-104.7722380
1603,Capitol Avenue Suite,82001,41.1329580,-104.8151845
747,East Laughlin Road,82009,41.1312043,-104.8190045
300,W 17th St,82001,41.1332964,-104.8174552
429,West Fox Farm Road,82007,41.1163668,-104.8088228
5401,Walker Road,82009,41.1679559,-104.8374909
511,East Pershing Boulevard,82001,41.1457626,-104.8163268
2231,East Lincolnway,82001,41.1380290,-104.7905073
3610,Dell Range Boulevard,82009,41.1611306,-104.7653215
1607,Capitol Avenue,82001,41.1312383,-104.8182989
3601,Windmill Road,82001,41.1516380,-104.7751592
2310,West Lincolnway,82001,41.1233092,-104.8424682
1941,Fleischili Parkway,82007,41.1246180,-104.8446010
1508,Dell Range Boulevard,82009,41.1607213,-104.8057088
1536,Dell Range Boulevard,82009,41.1606556,-104.8051482
1740,Fleischili Parkway,82001,41.1240682,-104.8465454
2335,Tura Parkway,82007,41.1239360,-104.8437842
1781,Fleischili Parkway,82007,41.1252797,-104.8454385
2360,West Lincolnway,82001,41.1224299,-104.8440042
1626,Fleischili Parkway,82001,41.1222324,-104.8459759
1151,Dell Range Boulevard,82009,41.1594399,-104.7952615
5025,Campstool Road,82007,41.1264781,-104.7487230
122,West 25th Street,82002,41.1412809,-104.8202969
200,West 24th Street,82001-3642,41.1402694,-104.8202275
1400,West Lincolnway,82001,41.1281690,-104.8297589
2800,West Lincolnway,82009,41.1186102,-104.8581636
8101,Hutchins Drive,82007,41.1375728,-104.7049602
2723,Christensen Road,82007,41.1436104,-104.7075689
7917,Hutchins Dr,82007,41.1371320,-104.7099199
7201,Commerce Circle,82007,41.1376798,-104.7189280
1948,Dell Range Boulevard,82009,41.1634507,-104.7934378
2032,Dell Range Boulevard,82009,41.1640696,-104.7911451
2301,Central Avenue,82002,41.1395677,-104.8176857
214,East 23rd Street,82001,41.1404066,-104.8160309
1213,West Allison Road,82007,41.1083005,-104.8193526
1236,West Allison Road,82007,41.1110834,-104.8208025
220,North College Drive,82007,41.1185168,-104.7693374
1210,8th Avenue,82001,41.1568171,-104.8343594
4603,Lions Park Drive,82001,41.1576410,-104.8286148
1608,Prairie Avenue,82009,41.1665811,-104.8032975
5232,Rue Terre,82009,41.1666834,-104.8012312
2107,Capitol Avenue,82001,41.1377167,-104.8177864
1910,Pioneer Avenue,82001,41.1347723,-104.8201563
309,West 20th Street,82001,41.1353993,-104.8191199
2101,O Neil Avenue,82001,41.1355810,-104.8221578
2120,Capitol Avenue,82001,41.1374546,-104.8189949
2000,Pioneer Avenue,82001,41.1374304,-104.8217978
2301,Capitol Avenue,82001,41.1391441,-104.8188154
1307,Crook Avenue,82001,41.1378756,-104.7886103
5400,Bishop Boulevard,82009,41.1687392,-104.8422491
1780,Westland Road,82001,41.1259407,-104.8396912
2101,Thomes Avenue,82001,41.1362991,-104.8213715
3304,Sheridan Street,82009,41.1613223,-104.7689304
604,Shoshoni Street,82001,41.1697848,-104.8196831
615,Storey Boulevard,82001,41.1746415,-104.8222167
3128,Boxelder Drive,82009,41.1398011,-104.7765489
2700,East 12th Street,82009,41.1370114,-104.7835023
322,West Lincolnway,82001,41.1325592,-104.8173222
2811,House Avenue,82001,41.1453208,-104.8186422
2810,House Avenue,82001,41.1448329,-104.8197931
4218,East Pershing Boulevard,82001,41.1458093,-104.7579912
6101,Yellowstone Road,82001,41.1757946,-104.8277705
4800,Converse Avenue,82009-9998,41.1629883,-104.7873563
5201,Yellowstone Road,82009,41.1661865,-104.8281842
5050,Powderhouse Road,82009,41.1651353,-104.8101214
5320,Education Drive,82009,41.1684884,-104.8323070
5416,Education Drive,82009,41.1690989,-104.8325005
1331,Prairie Avenue,82009,41.1637191,-104.8084250
5214,Rue Terre,82009,41.1666405,-104.8004303
5204,Rue Terre,82009,41.1665565,-104.7999687
1708,Dell Range Boulevard,82009,41.1620619,-104.8000683
6001,Yellowstone Road,82009,41.1745319,-104.8280337
6106,Yellowstone Road,82009,41.1756015,-104.8292148
5800,Yellowstone Road,82009,41.1726501,-104.8299291
5307,Yellowstone Road,82009,41.1681638,-104.8266746
5221,Yellowstone Road,82009,41.1674381,-104.8264614
1950,Blue Grass Circle,82009,41.1579688,-104.7930237
1950,Blue Grass Circle,82009,41.1593249,-104.7933096
3355,East Pershing Boulevard,82001,41.1441928,-104.7693568
3702,Dell Range Boulevard,82009,41.1613129,-104.7646872
4349,East Lincolnway,82009,41.1430878,-104.7569446
4350,East Lincolnway,82001,41.1444922,-104.7576565
1805,Westland Road,82007,41.1266856,-104.8390417
1854,Dell Range Boulevard,82009,41.1619006,-104.7948066
4621,Grandview Avenue,82009,41.1612727,-104.7888998
1625,Stillwater Avenue,82009,41.1590800,-104.8027010
1958,Dell Range Boulevard,82009,41.1612157,-104.7926198
1938,Dell Range Boulevard,82009,41.1606899,-104.7934935
1401,Dell Range Boulevard,82009,41.1598210,-104.8069081
2152,Dell Range Boulevard,82009,41.1606292,-104.7877750
121,West 15th Street,82001,41.1317835,-104.8144061
3410,Concord Road,82009,41.1476636,-104.8017824
1580,Airport Parkway,82001,41.1530756,-104.8010548
1300,East 20th Street,82001,41.1422372,-104.8024778
1,Depot Square,82001,41.1324314,-104.8144458
710,South Lions Park Drive,82001,41.1555930,-104.8301713
4403,Livingston Road,82007,41.1206090,-104.7575112
8911,Campstool Road,82007,41.1253504,-104.7112274
2200,O Neil Avenue,82001,41.1366873,-104.8241402
316,West 22nd Street,82002,41.1376194,-104.8207568
308,West 21st Street,82001,41.1368102,-104.8198877
2810,East 10th Street,82001,41.1342807,-104.7824878
807,Coolidge Street,82001,41.1324704,-104.7723755
903,Adams Avenue,82001,41.1341740,-104.7595182
5021,East 13th Street,82001,41.1376613,-104.7490962
615,West 19th Street,82007,41.1245163,-104.8159624
1407,Cosgriff Court,82001,41.1428458,-104.8373587
3501,Evans Avenue,82001,41.1481814,-104.8179855
6000,Education Drive,82009,41.1740815,-104.8353375
2204,Plainview Road,82009;82001,41.1700761,-104.7867613
2201,Morrie Avenue,82001,41.1428469,-104.8075774
2515,Warren Avenue,82001,41.1423588,-104.8181304
5300,Bishop Boulevard,82009,41.1651606,-104.8410760
5001,Central Avenue,82009,41.1654181,-104.8390697
5200,Bishop Boulevard,82009,41.1659672,-104.8419058
1426,East Lincolnway,82001,41.1373709,-104.7977677
2360,East Pershing Boulevard,82001,41.1480508,-104.7860762
922,West Lincolnway,82001,41.1297531,-104.8241504
3952,Parkview Drive,82001,41.1575589,-104.7617380
4025,Rawlins Street,82007,41.1520884,-104.7607622
4606,North College Drive,82009,41.1609101,-104.7618600
3001,East Pershing Boulevard,82001,41.1443773,-104.7729429
3424,East Pershing Boulevard,82001,41.1460700,-104.7673092
3418,East Pershing Boulevard,82001,41.1462346,-104.7676869
3310,Ridge Road,82001,41.1462051,-104.7688878
2121,East Lincolnway,82001,41.1381673,-104.7916781
1830,Dell Range Boulevard,82009,41.1606533,-104.7964042
2009,Blue Grass Circle,82009,41.1588994,-104.7914650
1931,Blue Grass Circle,82009,41.1582747,-104.7941618
1923,Dell Range Boulevard,82009,41.1598094,-104.7945193
1947,Dell Range Boulevard,82009,41.1599299,-104.7932845
1400,Dell Range Boulevard,82009,41.1619874,-104.8073693
1400,Dell Range Boulevard,82009,41.1620286,-104.8026906
1103,Old Town Lane,82009,41.1731765,-104.8102207
1121,Old Town Lane,82009,41.1731221,-104.8093755
1211,Dell Range Boulevard,82009,41.1596770,-104.8109951
1225,Dell Range Boulevard,82009,41.1589928,-104.8105717
1320,Dell Range Boulevard,82009,41.1608383,-104.8083010
1650,Dell Range Boulevard,82009,41.1609076,-104.8016118
2220,Dell Range Boulevard,82009,41.1605984,-104.7867240
2206,Dell Range Boulevard,82009,41.1606008,-104.7874633
1734,Meadowland Drive,82009,41.1591562,-104.7990058
1706,Stillwater Avenue,82009,41.1594193,-104.8003845
1660,Dell Range Boulevard,82009,41.1607620,-104.8009090
6309,Yellowstone Road,82009,41.1778436,-104.8273842
421,Vandehei Street,82009,41.1826930,-104.8350432
443,Vandehei Street,82009,41.1823354,-104.8358353
3310,North College Drive,82001,41.1461936,-104.7616653
510,West 29th Street,82001,41.1431081,-104.8271934
510,Seymour Avenue,82001,41.1440099,-104.8137417
301,West Lincolnway,82001,41.1320818,-104.8164846
