House number,Street name,Postal code,Latitude,Longitude
745,Buena Vista Drive,82520,42.8248423,-108.7311221
150,Caring Way,82520,42.8279683,-108.7222909
155,South 5th Street,82520,42.8334838,-108.7362250
451,North 2nd Street,82520,42.8361013,-108.7282223
950,Buena Vista Drive,82520,42.8242659,-108.7298113
333,Main ST,82520,42.8331631,-108.7320402
371,Main ST,82520,42.8333087,-108.7327302
391,Main ST,82520,42.8333087,-108.7329420
351,Main ST,82520,42.8332314,-108.7323830
343,Main ST,82520,42.8331833,-108.7321682
340,Main Street,82520,42.8334669,-108.7320040
175,North 4th Street,82520,42.8344042,-108.7332485
135,North Second Street,82520,42.8332484,-108.7291325
1165,Main Street,82520,42.8378335,-108.7464796
950,Buena Vista Drive,82520,42.8236605,-108.7291781
485,Main Street,82520,42.8331125,-108.7349658
250,Main Street,82520,42.8332328,-108.7301157
398,Main Street,82520,42.8338040,-108.7327587
340,Main Street,82520,42.8336245,-108.7319376
166,Main Street,82520,42.8329242,-108.7283504
148,Main Street,82520,42.8327734,-108.7279885
260,Grandview Drive,82520,42.8301126,-108.7213651
391,Main Street,82520,42.8331499,-108.7329991
1255,Main Street,82520,42.8386675,-108.7465835
1,Golf Course Drive,82520,42.8186193,-108.7225160
1320,Bishop Randall Drive,82520,42.8205721,-108.7267577
275,North 3rd Street,82520,42.8350104,-108.7308806
163,Leedy Drive,82520,42.8265144,-108.7176964
1320,Sinks Canyon Road,82520,42.8198125,-108.7465357
625,Wind River Avenue,82520,42.8252053,-108.7274883
1350,West Main Street,82520,42.8400575,-108.7445923
150,East Main Street,82520,42.8324580,-108.7258245
460,Railroad Avenue,82520,42.8355488,-108.7241994
240,Lincoln Street,82520,42.8342815,-108.7292389
360,Amoretti Street,82520,42.8367051,-108.7312216
450,North 2nd Street,82520,42.8360484,-108.7263985
801,South 2nd Street,82520,42.8246770,-108.7330527
799,South 2nd Street,82520,42.8251554,-108.7324726
799,South 2nd Street,82520,42.8250747,-108.7328485
115,Wyoming Street,82520,42.8231189,-108.7304741
1011,Buena Vista Drive,82520,42.8229240,-108.7304073
1075,Buena Vista Drive,82520,42.8226384,-108.7303291
111,Buena Vista Drive,82520,42.8220255,-108.7302797
930,Buena Vista Drive,82520,42.8242760,-108.7298038
135,Wyoming Street,82520,42.8230773,-108.7309361
157,Wyoming Street,82520,42.8231224,-108.7313411
175,Wyoming Street,82520,42.8231293,-108.7315886
754,South 2nd Street,82520,42.8258617,-108.7311091
451,Noth Second Street,82520,42.8362757,-108.7284815
552,Amoretti Street,82520,42.8375803,-108.7351267
586,Amoretti Street,82520,42.8376906,-108.7356826
526,Amoretti Street,82520,42.8374065,-108.7345729
534,Amoretti Street,82520,42.8374632,-108.7347693
504,Amoretti Street,82520,42.8373172,-108.7341986
515,Eugene Street,82520,42.8380385,-108.7341122
527,Eugene Street,82520,42.8380508,-108.7344934
555,Eugene Street,82520,42.8381348,-108.7347408
565,Eugene Street,82520,42.8382348,-108.7351202
568,Eugene Street,82520,42.8385464,-108.7348317
262,Lincoln Street,82520,42.8343296,-108.7299979
260,Lincoln Street,82520,42.8342795,-108.7299195
342,Lincoln Street,82520,42.8348187,-108.7317210
336,Lincoln Street,82520,42.8345564,-108.7315797
345,Lincoln Street,82520,42.8341874,-108.7318370
300,Lincoln Street,82520,42.8345065,-108.7309645
320,Main Street,82520,42.8335913,-108.7316258
326,Main ST,82520,42.8335886,-108.7317350
332,Main ST,82520,42.8336266,-108.7317987
242,North 4th Street,82520,42.8350552,-108.7324505
440,Lincoln Street,82520,42.8352342,-108.7334004
492,Lincoln Street,82520,42.8352682,-108.7345574
360,Main St,82520,42.8336206,-108.7323683
366,Main St,82520,42.8337359,-108.7324264
300 302 310 316 322,Main Street,82520,42.8336048,-108.7313499
300 302 310 316 322,Main Street,82520,42.8334083,-108.7313535
300 302 310 316 322,Main Street,82520,42.8334478,-108.7315293
348 356,Main St,82520,42.8336162,-108.7321686
372,Main Street,82520,42.8337656,-108.7325761
177,North Third Street,82520,42.8339989,-108.7312232
371,Main Street,82520,42.8331297,-108.7328048
615,Popo Agie Street,82520,42.8308919,-108.7385982
325,Main St,82520,42.8330325,-108.7319115
331,Main Street,82520,42.8330452,-108.7320753
311,Main ST,82520,42.8328874,-108.7315496
307,Main ST,82520,42.8329602,-108.7317213
325,N 4th Street,82520,42.8358948,-108.7326433
461,Washakie Street,82520,42.8357502,-108.7337711
445,Washakie Street,82520,42.8356399,-108.7334154
431,Washakie Street,82520,42.8356181,-108.7332519
291,N 4th St,82520,42.8355691,-108.7327791
474,Washakie Street,82520,42.8361705,-108.7338312
335,N 4th St,82520,42.8360697,-108.7325331
494,Washakie Street,82520,42.8362802,-108.7341385
436,Washakie Street,82520,42.8360169,-108.7330715
444,Washakie Street,82520,42.8361523,-108.7332435
460,Washakie Street,82520,42.8360974,-108.7334590
1731,West Main Street,82520,42.8447176,-108.7494888
120,Enterprise Boulevard,82520,42.8390122,-108.7153717
