House number,Street name,Postal code,Latitude,Longitude
1508,South 3rd Street,82070,41.2991133,-105.5952365
1115,South 3rd Street,82070,41.3028209,-105.5941648
1201,South 3rd Street,82070,41.3022617,-105.5942025
2405,Grand Avenue,82070,41.3095060,-105.5620133
204,South 30th Street,82070,41.3100633,-105.5587162
1502,South 3rd Street,82070,41.2994504,-105.5954020
509,South 2nd Street,82070,41.3087966,-105.5947663
601,South 2nd Street,82070,41.3079836,-105.5948540
517,South 3rd Street,82070,41.3083184,-105.5935794
807,South 3rd Street,82070,41.3059699,-105.5938615
609,South 2nd Street,82070,41.3078196,-105.5949470
313,South 2nd Street,82070,41.3105443,-105.5947193
114,East Ivinson Avenue,82070,41.3119285,-105.5952674
200,South 2nd Street,82070,41.3119090,-105.5950121
3000,Grand Avenue,82070-5105,41.3086178,-105.5569332
1666,Snowy Range Road,82070,41.3086400,-105.6180044
1564,McCue Street,82072,41.3271830,-105.6104067
710,East Garfield Street,82070,41.3089697,-105.5879211
215,Palmer Street,82070,41.3008700,-105.5952359
2900,East Grand Avenue,82070,41.3085442,-105.5581684
710,East Garfield Street,82070,41.3095150,-105.5876280
567,North 13th Street,82072,41.3164719,-105.5796724
569,North 13th Street,82072,41.3165472,-105.5796665
571,North 13th Street,82072,41.3166209,-105.5796585
2130,East Garfield Street,82070,41.3081266,-105.5663709
303,South 8th Street,82070,41.3104129,-105.5866211
203,South 2nd Street,82070,41.3118317,-105.5944694
1301,South 3rd Street,82070,41.3011766,-105.5938970
1770,North McCue Street,82072,41.3286247,-105.6109018
4810,Sherman Hill Road,82070,41.3003085,-105.5329806
4810,Sherman Hill Road,82070,41.3003125,-105.5330948
4810,Sherman Hill Road,82070,41.3003046,-105.5330962
4810,Sherman Hill Road,82070,41.3003155,-105.5329806
4906,Sherman Hill Road,82070,41.3002599,-105.5324567
4906,Sherman Hill Road,82070,41.3002884,-105.5325645
4906,Sherman Hill Road,82070,41.3002812,-105.5325689
4906,Sherman Hill Road,82070,41.3002666,-105.5324540
5002,Sherman Hill Road,82070,41.3001381,-105.5319622
5002,Sherman Hill Road,82070,41.3001844,-105.5320585
5002,Sherman Hill Road,82070,41.3001781,-105.5320649
5002,Sherman Hill Road,82070,41.3001441,-105.5319576
5010,Sherman Hill Road,82070,41.2999573,-105.5316234
5010,Sherman Hill Road,82070,41.2998998,-105.5315366
5010,Sherman Hill Road,82070,41.2999049,-105.5315301
5010,Sherman Hill Road,82070,41.2999622,-105.5316151
1706,Sherman Hill Road,82070,41.2995861,-105.5312034
1706,Sherman Hill Road,82070,41.2996622,-105.5312564
1706,Sherman Hill Road,82070,41.2995896,-105.5311953
1706,Sherman Hill Road,82070,41.2996591,-105.5312661
1716,Sherman Hill Road,82070,41.2992634,-105.5309149
1716,Sherman Hill Road,82070,41.2993395,-105.5309679
1716,Sherman Hill Road,82070,41.2993365,-105.5309776
1716,Sherman Hill Road,82070,41.2992670,-105.5309068
203,South 2nd Street,82070,41.3118311,-105.5945170
365,West Grand Avenue,82072,41.3121383,-105.6005641
409,South 22nd Street,82070,41.3079508,-105.5645947
407,South 22nd Street,82070,41.3080093,-105.5645974
405,South 22nd Street,82070,41.3080778,-105.5645987
403,South 22nd Street,82070,41.3081261,-105.5645987
401,South 22nd Street,82070,41.3081795,-105.5646014
406,Stetson Court,82070,41.3082964,-105.5642232
414,Stetson Court,82070,41.3081523,-105.5642273
418,Stetson Court,82070,41.3080526,-105.5642152
426,Stetson Court,82070,41.3079045,-105.5642125
430,Stetson Court,82070,41.3077947,-105.5642112
438,Stetson Court,82070,41.3075982,-105.5642420
443,Stetson Court,82070,41.3075297,-105.5635406
439,Stetson Court,82070,41.3076849,-105.5635527
435,Stetson Court,82070,41.3077816,-105.5635406
425,Stetson Court,82070,41.3079377,-105.5635500
417,Stetson Court,82070,41.3080546,-105.5635500
409,Stetson Court,82070,41.3082883,-105.5635567
405,26th Street,82070,41.3080506,-105.5596259
409,26th Street,82070,41.3078682,-105.5596232
411,26th Street,82070,41.3075318,-105.5597064
415,26th Street,82070,41.3073504,-105.5597506
315,23rd Street,82070,41.3086469,-105.5629264
2143,East Garfield Street,82070,41.3088595,-105.5655201
2111,Rainbow Avenue,82070,41.3073424,-105.5665675
263,North 3rd Street,82072,41.3143097,-105.5929478
1710,East Grand Avenue,82070,41.3097308,-105.5743949
702,South 3rd Street,82070,41.3071247,-105.5942682
505,South 10th Street,82070,41.3082113,-105.5843921
507,South 10th Street,82070,41.3081377,-105.5842312
1000,East Garfield Street,82070,41.3091053,-105.5842067
3236,East Grand Avenue,82070,41.3074340,-105.5539537
807,Steele Street,82070,41.3051117,-105.5868835
1019,South 8th Street,82070,41.3033025,-105.5875558
252,North 3rd Street,82072,41.3140644,-105.5936230
820,Plaza Lane,82070,41.2941976,-105.5874784
1005,South 5th Street,82070,41.3037408,-105.5914544
522,East Custer Street,82070,41.3087396,-105.5902044
524,East Custer Street,82070,41.3087346,-105.5900945
508,South 6th Street,82070,41.3085331,-105.5902340
1009,South 3rd Street,82070,41.3039926,-105.5941044
420,East Kearney Street,82070,41.3078622,-105.5915818
412,East Kearney Street,82070,41.3078803,-105.5918098
403,South 3rd Street,82070,41.3098850,-105.5934070
420,South 4th Street,82070,41.3092685,-105.5928478
410,South 4th Street,82070,41.3094629,-105.5928370
603,South 4th Street,82070,41.3079146,-105.5922657
214,East Sheridan Street,82070,41.3071372,-105.5945470
708,South 2nd Street,82070,41.3069716,-105.5957204
619,South 2nd Street,82070,41.3075388,-105.5950626
621,South 2nd Street,82070,41.3074750,-105.5950693
600,South 3rd Street,82070,41.3079740,-105.5943364
404,South 2nd Street,82070,41.3099112,-105.5953302
420,South 2nd Street,82070,41.3094498,-105.5954790
116,East Custer Street,82070,41.3090695,-105.5956963
502,South 2nd Street,82070,41.3090489,-105.5954153
211,Steele Street,82070,41.3055915,-105.5949459
207,Steele Street,82070,41.3056015,-105.5950975
913,South 1st Street,82070,41.3048268,-105.5966042
1111,South 1st Street,82070,41.3029398,-105.5967423
1326,South 2nd Street,82070,41.3008231,-105.5962555
1324,South 2nd Street,82070,41.3009873,-105.5962461
1213,South 2nd Street,82070,41.3020109,-105.5955662
1219,South 2nd Street,82070,41.3018840,-105.5955930
1307,South 2nd Street,82070,41.3013389,-105.5956279
1214,South 3rd Street,82070,41.3020422,-105.5949345
910,South 3rd Street,82070,41.3049477,-105.5946462
908,South 3rd Street,82070,41.3050746,-105.5946408
309,Fetterman Street,82070,41.3026789,-105.5939434
1401,South 3rd Street,82070,41.3002599,-105.5942506
910,Palmer Drive,82070,41.3003455,-105.5860812
912,Palmer Drive,82070,41.3003455,-105.5859793
918,Palmer Drive,82070,41.3003420,-105.5858130
920,Palmer Drive,82070,41.3003430,-105.5857218
928,Palmer Drive,82070,41.3003435,-105.5855522
930,Palmer Drive,82070,41.3003445,-105.5854596
1014,Palmer Drive,82070,41.3003425,-105.5852953
1016,Palmer Drive,82070,41.3003440,-105.5851954
1024,Palmer Drive,82070,41.3003410,-105.5850298
1026,Palmer Drive,82070,41.3003430,-105.5849326
1032,Palmer Drive,82070,41.3003415,-105.5847663
1034,Palmer Drive,82070,41.3003415,-105.5846731
1038,Palmer Drive,82070,41.3003435,-105.5845007
1040,Palmer Drive,82070,41.3003440,-105.5844082
1044,Palmer Drive,82070,41.3003460,-105.5842459
1046,Palmer Drive,82070,41.3003460,-105.5841440
1102,Palmer Drive,82070,41.3003440,-105.5837142
1112,Palmer Drive,82070,41.3003445,-105.5834044
1104,Palmer Drive,82070,41.3003440,-105.5836210
1114,Palmer Drive,82070,41.3003460,-105.5833139
1120,Palmer Drive,82070,41.3003480,-105.5831268
1126,Palmer Drive,82070,41.3003455,-105.5828525
1122,Palmer Drive,82070,41.3003485,-105.5830356
1128,Palmer Drive,82070,41.3003465,-105.5827573
1129,Palmer Drive,82070,41.3008553,-105.5827814
1127,Palmer Drive,82070,41.3008563,-105.5828720
1123,Palmer Drive,82070,41.3008563,-105.5830590
1115,Palmer Drive,82070,41.3008548,-105.5833353
1121,Palmer Drive,82070,41.3008563,-105.5831543
1113,Palmer Drive,82070,41.3008538,-105.5834245
1107,Palmer Drive,82070,41.3008558,-105.5836317
