House number,Street name,Postal code,Latitude,Longitude
18,Darvozai Sallohhona ko'chasi,200118,39.7698892,64.4215854
26,Mustaqillik ko'chasi,200100,39.7638811,64.4302635
256,Bahovaddin Naqshband ko'chasi,200100,39.7720982,64.4374975
26a,Sobir Raximov ko'chasi,200111,39.7879523,64.4252008
13,Xo'ja Gulrez ko'chasi,200121,39.7717735,64.4155620
19,Darvozai Sallohhona ko'chasi,200100,39.7702910,64.4217765
100,Bahovaddin Naqshband ko'chasi,200118,39.7726771,64.4213752
6/1,Bahovaddin Naqshband ko'chasi,200100,39.7692761,64.4501241
6/1,Bahovaddin Naqshband ko'chasi,200100,39.7695080,64.4499258
11,Muhammad Iqbol ko'chasi,200100,39.7633250,64.4272229
4,Mirdo'stim ko'chasi,200115,39.7738875,64.4044642
30,Alpomish ko'chasi,200100,39.7336110,64.4335269
10,Kogon shoh ko'chasi,200100,39.7549242,64.4605882
14,Xamza ko'chasi,200100,39.7644740,64.4270964
2,Bahovaddin Naqshband ko'chasi,200100,39.7731460,64.4189117
16,Mustaqillik ko'chasi,200100,39.7660867,64.4303593
37,Levi Babahanova,200118,39.7715488,64.4203758
2,Uyquruvchilar ko'chasi,200100,39.7602533,64.4392924
11,Sanoatchilar ko'chasi,200100,39.7736028,64.4476751
5,Muhammad Iqbol ko'chasi,200100,39.7620639,64.4280524
2,Sanoatchilar ko'chasi,200100,39.7610636,64.4494431
33,Ibrohim Mo'minov ko'chasi,200100,39.7667305,64.4361954
38,Muhammad Payraviy ko'chasi,200100,39.7767583,64.4191667
44,Namozgox ko'chasi,200100,39.7651387,64.4123725
56,Shirbuddin ko'chasi,200100,39.7620244,64.4691280
11,Hofiz tanish al Buxoriy ko'chasi,200104,39.7707863,64.4324470
24,Xo'ja Nurobod ko'chasi,200100,39.7763953,64.4185316
31A,Oqmasjid ko'chasi,200100,39.7812997,64.4441199
6,Mustaqillik ko'chasi,200100,39.7720115,64.4308512
90,Havzi Nav ko'chasi,200100,39.7673712,64.4036698
M.Payraviy 38,M.Payraviy,200100,39.7767599,64.4190219
46,M . Payraviy,200100,39.7769148,64.4195820
2,Sanoatchilar ko'chasi,200100,39.7594568,64.4511615
7,Alisher Navoiy shox ko'chasi,200100,39.7617737,64.4252936
12,Pochchoqul Hoji,200118,39.7722766,64.4140217
9,Morkush,200111,39.7703831,64.4067867
55,Mehtar Anbar ko'chasi,200118,39.7735825,64.4184109
101,Mirdo'stim ko'chasi,200100,39.7713667,64.3940719
46,Muhammad Payraviy ko'chasi,200100,39.7769141,64.4195125
152,Bahovaddin Naqshband ko'chasi,200118,39.7733234,64.4253563
