House number,Street name,Postal code,Latitude,Longitude
14,1-kichik nohiyasi,111722,41.4860939,69.5760919
42,Amir Temur ko‘chasi,100000,41.4869067,69.5794332
259,Навои проспект,111700,41.4641149,69.5774932
7/9,Чулпон,101200,41.5131190,69.6326052
7,Alisher Navoi,701000,41.4377367,69.5464928
2,8-микрорайон,100701,41.4594220,69.5487144
12,улица Шарафа Рашидова,111700,41.4697070,69.5874494
3,А.НАВОИЙ,111709,41.4380810,69.5453154
15,1-kichik nohiyasi,111722,41.4850664,69.5766389
16,1-kichik nohiyasi,111722,41.4849066,69.5771798
30,1-kichik nohiyasi,111700,41.4840050,69.5762716
50,8-kichik nohiyasi,777101,41.4633587,69.5524288
6,O‘lkashunoslik ko‘chasi,111700,41.4672480,69.5834596
3a,P.Yusupov ko'chasi,707000,41.4692642,69.5845753
21,P.Yusupov ko'chasi,111700,41.4734532,69.5883039
238A,Alisher Navoiy shoh koʻchasi,102100,41.4783503,69.5934042
36,Amir Temur shoh ko‘chasi,111700,41.4467080,69.5522700
42,Amir Temur shoh ko‘chasi,111700,41.4482106,69.5529303
40,Amir Temur shoh ko‘chasi,111700,41.4475789,69.5523323
89,Chaykovskiy ko‘chasi,111700,41.4463557,69.5550101
40а,Amir Temur shoh ko‘chasi,111700,41.4470561,69.5518039
44,Amir Temur shoh ko‘chasi,111700,41.4479253,69.5534329
45,3-kichik nohiyasi,111700,41.4932527,69.5820487
33,3-kichik nohiyasi,111700,41.4934676,69.5813735
36,3-kichik nohiyasi,111700,41.4938757,69.5815814
14,1-kichik nohiyasi,111722,41.4859272,69.5764575
38,3-kichik nohiyasi,111700,41.4934642,69.5789372
35,3-kichik nohiyasi,111700,41.4922174,69.5814178
27,1-kichik nohiyasi,111700,41.4835175,69.5756255
5,Madaniyat ko‘chasi,111700,41.4699873,69.5770222
9a,Madaniyat ko‘chasi,111700,41.4710840,69.5788693
10a,Istiqbol ko‘chasi,111700,41.4719094,69.5783119
6,Istiqbol ko‘chasi,111700,41.4702728,69.5764552
9,Madaniyat ko‘chasi,111700,41.4712133,69.5781881
7,Madaniyat ko‘chasi,111700,41.4706102,69.5775878
32,Saodat ko‘chasi,111700,41.4783150,69.5834297
30,Saodat ko‘chasi,111700,41.4786475,69.5830727
3a,Pushkin ko`chasi,111700,41.4958463,69.6059984
4a,Pushkin ko`chasi,111700,41.4940959,69.6067090
6,Al-Buxoriy ko‘chasi,111700,41.4965602,69.6097428
3,Al-Buxoriy ko‘chasi,111700,41.4959511,69.6089508
8,Xo‘ja Ahror Valiy ko‘chasi,111700,41.4966870,69.6082662
5,Pushkin ko`chasi,111700,41.4940007,69.6054589
6,Pushkin ko`chasi,111700,41.4941005,69.6075711
1,Pushkin ko`chasi,111700,41.4959070,69.6064919
8,Al-Buxoriy ko‘chasi,111700,41.4969040,69.6097262
31,Pushkin ko`chasi,111700,41.4949138,69.6065095
2,Al-Buxoriy ko‘chasi,111700,41.4957681,69.6097181
8,Pushkin ko`chasi,111700,41.4944804,69.6075661
5a,Pushkin ko`chasi,111700,41.4959165,69.6069981
16,Pushkin ko`chasi,111700,41.4933861,69.6046776
1a,Pushkin ko`chasi,111700,41.4962669,69.6075449
3,Pushkin ko`chasi,111700,41.4930459,69.6050838
5,Al-Buxoriy ko‘chasi,111700,41.4966912,69.6089403
6,Xo‘ja Ahror Valiy ko‘chasi,111700,41.4959567,69.6082700
38,Muqimiy ko‘chasi,111700,41.5129747,69.6233452
1,Muqimiy ko‘chasi,111700,41.5111681,69.6219472
43,Muqimiy ko‘chasi,111700,41.5113714,69.6215904
20,Muxanov ko'chasi,1110007,41.4991656,69.6007890
